index,stem,Adams-Novikov filtration,order,shift,h1info,h1target,h2info,h2target,drinfo,drtarget
_B7 d1,94,6,1,3,,,,M D1 h0^2,,
D d1 e1,94,8,1,-1,,,,,,
_D1 h1^3 e1,94,8,1,1,1,_h3 g C'',,,3,D1 h1^3 e1
D^2 h2^2 g^2,94,10,1,-1,,,,D^2 h1^2 h3 g^2,,
_h1^2 d1 j1,94,10,1,1,,,,,3,h1^2 d1 j1
h3 g C'',94,12,1,0,,,,,,
_h1 d1 g^3,94,14,1,0,,_h1^2 d1 g^3,,,3,h1 d1 g^3
h2 g^3 n,94,16,1,-1,,,,,,
h1 g^2 i1,94,16,1,1,,h1^2 g^2 i1,,,,
h1^2 d1 g^3,94,18,1,-1,,,,,,
h1^14 h6 e0,94,18,1,1,,h1^15 h6 e0,,h0 e0 g^4,,
D h1 h3 h6,95,3,1,-1,,D h1^2 h3 h6,,,,
P^3 h6 c0,95,3,1,1,,P^3 h1 h6 c0,,,,
h2 g3,95,5,2,-5,,,,,,
"D x71,6",95,5,1,-3,,t D D1 g,,,,
"h1 x94,8",95,5,1,-1,,"h1^2 x94,8",,_h1^2 e1 Q2,,
h6 d1,95,5,1,1,,h1 h6 d1,,h2 h6 d1,,
_t D^2 h2^2 g^2,95,5,3,3,,,,D^3 h2^2 g,,
D^2 M h1^2,95,5,1,5,,,,,,
e1 Q2,95,7,1,-1,,,,,,
"x95,11",95,7,1,1,,D D1 h0 g,,,,
_h3 g C'',95,9,2,0,,,,e0 g A',,
g^2 B6,95,13,1,0,,,,,3,h2 g^3 n
_h1^2 d1 g^3,95,15,1,0,,g^3 T,,,3,h1^2 d1 g^3
h2 d1 g^3,95,17,1,-1,,,,h2^2 d1 g^3,,
h1^2 g^2 i1,95,17,1,1,,h1^3 g^2 i1,,,,
h1^15 h6 e0,95,19,1,0,,,,,,
h6 p,96,4,1,-3,,,,,,
"x96,8",96,4,3,-1,,"h1 x96,8",,"_x98,14",,
D h1^2 h3 h6,96,4,1,1,,,,,,
P^3 h1 h6 c0,96,4,1,3,,,,,,
t D D1 g,96,6,1,-2,,t D D1 h1 g,,,,
"h1^2 x94,8",96,6,1,0,,M D1 h0^2,,,,
h1 h6 d1,96,6,1,2,,h1^2 h6 d1,,,,
"g x76,9",96,8,1,-1,,,1,D D1 h2 g,,
D D1 h0 g,96,8,1,1,,,,,,
D^2 h1 h3 g^2,96,10,1,0,,D^2 h1^2 h3 g^2,,,,
_t h2 d1 g^3,96,12,1,-1,,D h1 d1 g^2,,,,
e1^2 g,96,12,1,1,,h1 e1^2 g,,h1^2 d1 k1,,
_h1^2 g^2 i1,96,14,1,0,,_h1^3 g^2 i1,,,,
g^3 T,96,16,1,0,,,,,,
h1^3 g^2 i1,96,18,1,0,,h1^4 g^2 i1,,,,
"h0 x97,7",97,3,1,0,,"_h1^3 x94,8",,"x100,13",,
h2 h6 n,97,5,1,-2,,,,,,
"h1 x96,8",97,5,1,0,,,,,,
_h1 e1 Q2,97,5,1,2,,_h1^2 e1 Q2,,,,
t D D1 h1 g,97,7,1,-3,,,,,,
M D1 h0^2,97,7,1,-1,,,,,,
h1^2 h6 d1,97,7,1,1,,,,,,
h6 e0^2,97,7,1,3,,h1 h6 e0^2,,h0 h6 e0 g,,
M D c0 g,97,9,1,-2,,,,,,
"h1^2 x95,8",97,9,1,0,,_h1 e1^2 g,,_h1^2 d1 k1,,
H1 m + h1^3 h6 d0 e0,97,9,1,2,,h1^4 h6 d0 e0,,h2 H1 m,,
D^2 h1^2 h3 g^2,97,11,1,-2,,,,,,
d1 k1,97,11,1,0,,h1 d1 k1,,,,
g^2 Q2,97,11,1,2,,h1 g^2 Q2,,_t^2 c1 g^4,,
D h1 d1 g^2,97,13,1,-1,,D h1^2 d1 g^2,,,,
h1 e1^2 g,97,13,1,1,,h1^2 e1^2 g,,,,
_h1^3 g^2 i1,97,15,1,0,,_h1^4 g^2 i1,,,,
h1^4 g^2 i1,97,19,1,-1,,h1^5 g^2 i1,,,,
h0 e0 g^4,97,19,1,1,,,1,h0 g^5,,
_P^3 h1^2 h6 c0,98,2,1,0,,,,,,
_h1^2 h6 d1,98,4,1,-1,,h6 T,,,,
"_h1^3 x94,8",98,4,1,1,1,"_x98,14",,,,
_h1^2 e1 Q2,98,6,1,-3,,,,,,
"h2 x95,7",98,6,1,-1,,"h1 h3 x91,8 + t D1 h0 h2 g2",,"h1^2 x99,7",,
h2 h6 d1,98,6,1,1,,,,h2^2 h6 d1,,
D^3 h2^2 g,98,6,1,3,,,,D^3 h1^2 h3 g,,
h1 h6 e0^2,98,8,1,-2,,,,,,
H1 T + M D1 h1,98,8,1,0,,,,,,
_d1 k1,98,8,1,2,,_h1 d1 k1,,,,
e0 g A',98,10,1,-4,,,,,,
D1 h3^2 d1,98,10,1,-2,,,,,,
_h1 e1^2 g,98,10,1,0,,_h1^2 e1^2 g,,,,
h1^4 h6 d0 e0,98,10,1,2,,h1^5 h6 d0 e0,,,,
_D h1 d1 g^2,98,10,1,4,,_D h1^2 d1 g^2,,,,
h1 d1 k1,98,12,1,-1,,h1^2 d1 k1,,,,
h1 g^2 Q2,98,12,1,1,,h1^2 g^2 Q2,,,,
D h1^2 d1 g^2,98,14,1,-2,,,,,,
h1^2 e1^2 g,98,14,1,0,,,,,,
P h1^10 h6 e0,98,14,1,2,,P h1^11 h6 e0,,_t h0^2 g^5,,
_h1^4 g^2 i1,98,16,1,0,,_h1^5 g^2 i1,,,,
h2^2 d1 g^3,98,18,1,0,,,,h1^3 e1 g^3,,
h1^5 g^2 i1,98,20,1,0,,,,,,
h6 T,99,5,1,-3,,,,,,
h3 g3,99,5,1,-1,,h1 h3 g3,,,,
"x99,7",99,5,2,1,,"h1 x99,7",,"h1 h3 x94,8 + t h2 x99,9",,
"_x98,14",99,5,2,3,,,,_t^2 g^2 B7,,
"h1 h3 x91,8 + t D1 h0 h2 g2",99,7,1,-2,,D d1 g2,,,,
"h1 h3 x91,8 + t D1 h0 h2 g2 again",99,7,1,-2,,,,,,
"x99,9",99,7,1,0,,h0 h6 e0 g,,h1 g2 Q2,,
M1 h2,99,7,1,2,,M D1 h0 h2,,M1 h2^2,,
D1 h2 g2,99,9,1,-3,,,,,,
_h1 d1 k1,99,9,1,-1,,_h1^2 d1 k1,,,,
M D1 h1^2,99,9,1,1,,P h1^4 h6 c0 e0,,D^2 h1^2 d1 g,,
D D1 h2 g,99,9,2,3,,,,D D1 h2^2 g,,
_h1^2 e1^2 g,99,11,1,-2,,,,,,
h1^5 h6 d0 e0,99,11,1,0,,,,,,
_D h1^2 d1 g^2,99,11,1,2,,_t^2 c1 g^4,,,,
h1^2 d1 k1,99,13,1,-1,,,,,,
h1^2 g^2 Q2,99,13,1,1,,h1^3 g^2 Q2,,,,
P h1^11 h6 e0,99,15,1,-2,,,,,,
g^2 j1,99,15,1,0,,h1 g^2 j1,,,,
h1^2 g D4,99,15,1,2,,h1^3 g D4,,_h1^3 e1 g^3,,
h1 e1 g^3,99,17,1,-1,,h1^2 e1 g^3,,,,
_h1^5 g^2 i1,99,17,1,1,,t g^5 + h1^12 h6 c0 e0,,,,
c1 g^4,99,19,1,0,,,,h2 c1 g^4,,
h6 x,100,4,3,-2,,,,,,
h0 h4 c3,100,4,1,0,,"x101,7",,"h3 x96,8",,
"x100,13",100,4,1,2,,,1,h6 d0 j,,
h1 h3 g3,100,6,1,-3,,,,,,
"h1 x99,7",100,6,1,-1,,"h1^2 x99,7",,,,
_h1^2 h6 e0^2,100,6,1,1,,g2 Q2,,,,
D^3 h1 h3 g,100,6,1,3,,D^3 h1^2 h3 g,,,,
D d1 g2,100,8,1,-3,,,,,,
h0 h6 e0 g,100,8,1,-1,,,,,,
M D1 h0 h2,100,8,1,1,,_h1^6 h6 d0 e0,,,,
D^2 d1 g,100,8,1,3,,D^2 h1 d1 g,,,,
_h1^2 d1 k1,100,10,1,-2,,,,,,
P h1^4 h6 c0 e0,100,10,1,0,,P h1^5 h6 c0 e0,,,,
h2 H1 m,100,10,1,2,,,,_h1 g^2 B7,,
_t^2 c1 g^4,100,12,1,0,,,,,,
_h1 e1 g^3,100,14,1,-1,,_h1^2 e1 g^3,,,,
h1^3 g^2 Q2,100,14,1,1,,h1^4 g^2 Q2,,,,
h1 g^2 j1,100,16,1,-1,,h1^2 g^2 j1,,,,
h1^3 g D4,100,16,1,1,,h1^4 g D4,,,,
h1^2 e1 g^3,100,18,1,-1,,h1^3 e1 g^3,,,,
t g^5 + h1^12 h6 c0 e0,100,18,1,1,,t h1 g^5 + h1^13 h6 c0 e0,,,,
h0 g^5,100,20,2,0,,,1,h2 g^5,,
D h0 h3^2 h6,101,3,1,0,,D h1 h6 d0,,D h0 h6 e0,,
"x101,7",101,5,1,-2,,,,,,
"h3 x94,8",101,5,1,0,,"h1 h3 x94,8 + t h2 x99,9",,,,
_t h2 H1 m + h1 h6 c0 d0^2,101,5,1,2,,P h6 d0 e0,,_t^2 h1 g^2 H1,,
"h1^2 x99,7",101,7,1,-5,,,,,,
"h0 x101,8 + h2 h6 m",101,7,1,-3,,,,,,
g2 Q2,101,7,1,-1,,h1 g2 Q2,,,,
D^2 i1,101,7,1,1,,D^2 h1 i1,,D^2 g T,,
h2^2 h6 d1,101,7,1,3,,,1,"h2 x101,8",,
D^3 h1^2 h3 g,101,7,1,5,,,,,,
_h1^6 h6 d0 e0,101,9,1,-1,,,,,,
D^2 h1 d1 g,101,9,1,1,,D^2 h1^2 d1 g,,,,
g^2 A',101,11,1,-1,,(De1+C0) g^2,,h2 g^2 A',,
P h1^5 h6 c0 e0,101,11,1,1,,P h1^6 h6 c0 e0,,,,
_h1 g^2 j1,101,13,1,0,,_h1^2 g^2 j1,,D h1^2 e1 g^2,,
_t h0^2 g^5,101,15,1,-2,,,1,_t h0 h2 g^5,,
_h1^2 e1 g^3,101,15,1,0,,_h1^3 e1 g^3,,,,
h1^4 g^2 Q2,101,15,1,2,,h1^5 g^2 Q2,,,,
h1^2 g^2 j1,101,17,1,-1,,,,,,
h1^4 g D4,101,17,1,1,,h1^5 g D4,,,,
h1^3 e1 g^3,101,19,1,-1,,,,,,
t h1 g^5 + h1^13 h6 c0 e0,101,19,1,1,,h1^14 h6 c0 e0,,,,
P^2 h0 h6 i,102,2,1,0,,,,D^4 h1^2 h3,,
D h1 h6 d0,102,4,1,0,,,,,,
"h1 h3 x94,8 + t h2 x99,9",102,6,1,-5,,,,,,
_t^2 g^2 B7,102,6,1,-3,,,,,,
h0 g2 D2,102,6,1,-1,,,,,,
_D^2 h1 d1 g,102,6,1,1,,_D^2 h1^2 d1 g,,,,
P h6 d0 e0,102,6,1,3,,P h1 h6 d0 e0,,,,
h1 h6 e1,102,6,1,5,,h1^2 h6 e1,,,,
h1 g2 Q2,102,8,1,-3,,,,,,
D^2 h1 i1,102,8,1,-1,,D^2 h1^2 i1,,,,
h6 c1 g,102,8,1,1,,,,h2 h6 c1 g,,
M1 h2^2,102,8,1,3,,,,M1 h1^2 h3,,
D^2 h1^2 d1 g,102,10,1,-2,,,,,,
P^2 h1^6 h6 e0,102,10,1,0,,P^2 h1^7 h6 e0,,D^2 h0 e0 g^2,,
D D1 h2^2 g,102,10,1,2,,,,D D1 h1^2 h3 g,,
(De1+C0) g^2,102,12,1,-2,,D h1 e1 g^2,,,,
P h1^6 h6 c0 e0,102,12,1,0,,P h1^7 h6 c0 e0,,,,
d1^2 e1,102,12,1,2,,,,D h1^2 g j1,,
_h1^2 g^2 j1,102,14,1,-1,,_t h2 c1 g^4,,,,
_h1^4 g D4,102,14,1,1,,_h1^5 g D4,1,"h1^3 y102,14",,
_h1^3 e1 g^3,102,16,1,-1,,,,,,
h1^5 g^2 Q2,102,16,1,1,,,,,,
h1^5 g D4,102,18,1,0,,h1^6 g D4,,,,
h1^14 h6 c0 e0,102,20,1,-1,2,h2 g^5,,,,
h2 c1 g^4,102,20,1,1,,,,h1^8 g D4,,
"_h1 h3 x94,8 + t h2 x99,9",103,3,1,0,,"x104,12",,"_t h2^2 x99,9",,
"h3 x96,8",103,5,1,-3,,,,,,
h6 f1,103,5,1,-1,,h1 h6 f1,,,,
"x103,12",103,5,1,1,,D^2 h5 c0 e0 + _D^2 h1^2 i1,,D^3 h1^2 d1,,
h6 d0 j,103,5,2,3,,,,h0 h6 d0 k,,
_t d1^2 e1,103,7,1,-4,,,,,,
_D^2 h1^2 d1 g,103,7,1,-2,,D^2 g T,,,,
P h1 h6 d0 e0,103,7,1,0,,,,,,
M1 h3,103,7,1,2,,M1 h1 h3,,,,
h1^2 h6 e1,103,7,1,4,1,"h2 x101,8",,,,
D^2 h1^2 i1,103,9,1,-2,,D^2 h1^3 i1,,,,
M D1 h2^2,103,9,1,0,,D D1 h1 h3 g,,M D1 h1 c0,,
"h1^2 x101,8",103,9,1,2,,"y104,12",,_D h1^2 g j1,,
_h1 g^2 B7,103,11,1,-3,,,,,,
P^2 h1^7 h6 e0,103,11,1,-1,,,,,,
D g j1,103,11,1,1,,D h1 g j1,,,,
"h1^2 x101,14",103,11,1,3,,"h1^3 x101,14",,,,
D h1 e1 g^2,103,13,1,-1,,D h1^2 e1 g^2,,,,
P h1^7 h6 c0 e0,103,13,1,1,,P h1^8 h6 c0 e0,,,,
_t h2 c1 g^4,103,15,1,-1,,,,,,
_h1^5 g D4,103,15,1,1,,_h1^6 g D4,,,,
h1^6 g D4,103,19,1,0,,h1^7 g D4,,,,
h2 g^5,103,21,3,0,,,,h2^2 g^5,,
D^4 h1 h3,104,2,1,0,,D^4 h1^2 h3,,,,
D h0 h6 e0,104,4,1,-3,,,,,,
h0 h6 c2,104,4,1,-1,,"x105,7",,,,
"x104,12",104,4,1,1,,_P h1^2 h6 d0 e0,,,,
_t D^2 h2 d1 g,104,4,1,3,,D^3 h1 d1,,,,
_t^2 h1 g^2 H1,104,6,1,-2,,,,,,
h1 h6 f1,104,6,1,0,,,,,,
D^2 h5 c0 e0 + _D^2 h1^2 i1,104,6,1,2,,D^2 h1 h5 c0 e0 + _D^2 h1^3 i1,,,,
D^2 g T,104,8,1,-3,,,,,,
M1 h1 h3,104,8,1,-1,,M1 h1^2 h3,,,,
_d1 l1,104,8,1,1,,"h2^2 x99,9",,,,
"h2 x101,8",104,8,2,3,,,,h1 g2 H1,,
D1 h3^2 e1,104,10,1,-4,,,,,,
D^2 h1^3 i1,104,10,1,-2,,D^2 h1^4 i1,,,,
D D1 h1 h3 g,104,10,1,0,,D D1 h1^2 h3 g,,,,
"y104,12",104,10,1,2,,,,,,
_D h1 e1 g^2,104,10,1,4,,_D h1^2 e1 g^2,,,,
D h1 g j1,104,12,1,-3,,D h1^2 g j1,,,,
"h1^3 x101,14",104,12,1,-1,,"h1^4 x101,14",,,,
h2 g^2 A',104,12,1,1,,,,t h1 g^2 G0,,
h2 c1 H1 g,104,12,1,3,,,1,D1 h2 g d1,,
D h1^2 e1 g^2,104,14,1,-1,,,,,,
P h1^8 h6 c0 e0,104,14,1,1,,P h1^9 h6 c0 e0,,,,
_h1^6 g D4,104,16,1,-2,,_h1^7 g D4,,,,
d1^2 g^2,104,16,1,0,,h1 d1^2 g^2,,h1^2 g d1 i1,,
_t h0 h2 g^5,104,16,2,2,,,1,_t h2^2 g^5,,
h1^7 g D4,104,20,1,0,,h1^8 g D4,,,,
D^4 h1^2 h3,105,3,1,-1,,,,,,
_D^2 h1 B6,105,3,1,1,,_D^2 h1^2 B6,,_t^2 D^2 c1 g^2,,
"x105,7",105,5,1,-3,,,,,,
_P h1^2 h6 d0 e0,105,5,1,-1,,,,,,
D^3 h1 d1,105,5,1,1,,D^3 h1^2 d1,,,,
_M1 h1 h3,105,5,1,3,,_M1 h1^2 h3,,,,
D^2 h1 h5 c0 e0 + _D^2 h1^3 i1,105,7,1,-3,,D^2 h1^2 h5 c0 e0 + _D^2 h1^4 i1,,,,
g2 A',105,7,1,-1,,D e1 g2,,,,
g2 D3,105,7,1,1,,"h3 x99,9",,"h0 h3 x101,8",,
_t h2 g^2 A',105,7,1,3,,D^2 e1 g + _t h2 g^2 C0,,_t^2 h1 g^2 G0,,
h2 h6 c1 g,105,9,1,-4,,,,,,
M1 h1^2 h3,105,9,1,-2,,,,,,
"h2^2 x99,9",105,9,1,0,,,,,,
M D1 c0,105,9,1,2,,M D1 h1 c0,,,,
_D h1 g j1,105,9,1,4,,_D h1^2 g j1,,,,
D^2 h0 e0 g^2,105,11,1,-3,,,1,D^2 h0 g^3,,
D^2 h1^4 i1,105,11,1,-1,,D^2 h1^5 i1,,,,
D D1 h1^2 h3 g,105,11,1,1,,,,,,
_D h1^2 e1 g^2,105,11,1,3,,,,,,
D h1^2 g j1,105,13,1,-2,,,,,,
"h1^4 x101,14",105,13,1,0,,"h1^5 x101,14",,,,
h2 g^2 H1,105,13,1,2,,_h1 d1^2 g^2,,h2^2 g^2 H1,,
g d1 i1,105,15,1,-2,,h1 g d1 i1,,,,
P h1^9 h6 c0 e0,105,15,1,0,,P h1^10 h6 c0 e0,,,,
"h1^3 y102,14",105,15,2,2,,"h1^4 y102,14",,M h2 g^3,,
_h1^7 g D4,105,17,1,-1,,_h1^8 g D4,,,,
h1 d1^2 g^2,105,17,1,1,,h1^2 d1^2 g^2,,,,
h1^8 g D4,105,21,1,0,,,,,,
D^2 h0 D2,106,2,1,0,,_D^3 h1^2 d1,,,,
_t h2 h6 c1 g,106,4,1,-2,,,,,,
_D^2 h1^2 B6,106,4,1,0,,_t^3 B5 g^2,,,,
"_t h2^2 x99,9",106,4,1,2,,,,"x109,13",,
D^3 h1^2 d1,106,6,1,-4,,,,,,
_M1 h1^2 h3,106,6,1,-2,,,,,,
C1,106,6,2,0,,,,,,
P^3 h1^2 h6 e0,106,6,1,2,,P^3 h1^3 h6 e0,,M^2 P^2 h2,,
h0 h6 d0 k,106,6,1,4,,,1,"x109,10",,
D^2 h1^2 h5 c0 e0 + _D^2 h1^4 i1,106,8,1,-3,,D^2 h1^3 h5 c0 e0 + _D^2 h1^5 i1,,,,
D e1 g2,106,8,1,-1,,,,,,
"h3 x99,9",106,8,1,1,,,,,,
D^2 e1 g + _t h2 g^2 C0,106,8,1,3,,,,,,
M D1 h1 c0,106,10,1,-2,,,,,,
_D h1^2 g j1,106,10,1,0,,,,,,
"_h1^4 x101,14",106,10,1,2,,"_h1^5 x101,14",1,"h1^3 x106,14",,
D^2 h1^5 i1,106,12,1,-1,,,,,,
_g d1 i1,106,12,1,1,,_h1 g d1 i1,,D^2 h1 g^2 g2,,
"h1^5 x101,14",106,14,1,-2,,"h1^6 x101,14",,,,
_h1 d1^2 g^2,106,14,1,0,,_h1^2 d1^2 g^2,,,,
i1^2,106,14,1,2,,h1 i1^2,,h0 h2 g^2 G0,,
h1 g d1 i1,106,16,1,-2,,h1^2 g d1 i1,,,,
P h1^10 h6 c0 e0,106,16,1,0,2,_t h2^2 g^5,,,,
"h1^4 y102,14",106,16,1,2,,"h1^5 y102,14",,,,
_h1^8 g D4,106,18,1,-1,,,,,,
h1^2 d1^2 g^2,106,18,1,1,,,,,,
h2^2 g^5,106,22,1,0,,,,h1^2 h3 g^5,,
_D^3 h1^2 d1,107,3,1,0,,_t^2 D^2 c1 g^2,,,,
h0 h4 g3,107,5,2,-4,,,,,,
"x107,7",107,5,1,-2,,,,,,
D h6 g,107,5,2,0,,_D^2 h1 e1 g,,D h2 h6 g,,
"x107,12",107,5,1,2,,D^2 D1 h1 h3,,_D^2 h1^2 j1,,
_t^3 B5 g^2,107,5,1,4,,D^2 h1^3 Q2,,,,
"x107,13",107,7,1,-2,,,,,,
P^3 h1^3 h6 e0,107,7,1,0,,,,,,
D^2 h1^2 D4,107,7,1,2,,D^2 h1^3 D4,,,,
D^2 h1^3 h5 c0 e0 + _D^2 h1^5 i1,107,9,1,-1,,D^2 h1^4 h5 c0 e0 + t D^2 g^3,,,,
h1 g2 H1,107,9,1,1,,,,"y110,12",,
"_h1^5 x101,14",107,11,1,0,,"_h1^6 x101,14",,,,
t h1 g^2 G0,107,13,1,-3,,,,,,
_h1 g d1 i1,107,13,1,-1,,_h1^2 g d1 i1,,,,
D1 h2 g d1,107,13,2,1,,,,D1 h2^2 d1 g,,
D1 h1^2 i1,107,13,1,3,,D1 h1^3 i1,,"_h1^8 x101,14",,
"h1^6 x101,14",107,15,1,-2,,"h1^7 x101,14",,,,
_h1^2 d1^2 g^2,107,15,1,0,1,M h2 g^3,,,,
h1 i1^2,107,15,1,2,,h1^2 i1^2,,,,
h1^2 g d1 i1,107,17,1,-2,,,,,,
_t h2^2 g^5,107,17,3,0,,,,D h2^2 g^4,,
"h1^5 y102,14",107,17,1,2,,,,,,
_D^2 h1^2 Q2,108,2,1,0,,_D^2 h1^3 Q2,,,,
_t^2 D^2 c1 g^2,108,4,1,0,,,,,,
_D^2 h1 e1 g,108,6,1,-3,,,,,,
D^2 D1 h1 h3,108,6,1,-1,1,"x109,10",,,,
h1 h4 g3,108,6,1,1,,h1^2 h4 g3,,,,
D^2 h1^3 Q2,108,6,1,3,,D^2 h1^4 Q2,,,,
"h0 h3 x101,8",108,8,1,-2,,,,,,
_t^2 h1 g^2 G0,108,8,1,0,,,,,,
D^2 h1^3 D4,108,8,1,2,,D^2 h1^4 D4,,,,
_B6 d1 g,108,10,1,-1,,_B6 h1 d1 g,,,,
D^2 h1^4 h5 c0 e0 + t D^2 g^3,108,10,1,1,,D^2 h1^5 h5 c0 e0 + t D^2 h1 g^3,,,,
D^2 h0 g^3,108,12,2,-4,,,,,,
d1^2 g2,108,12,1,-2,,,,,,
D g^2 g2,108,12,1,0,,D^2 h1 g^2 g2,,,,
"_h1^6 x101,14",108,12,1,2,,"_h1^7 x101,14",,,,
_h1 i1^2,108,12,1,4,,_h1^2 i1^2,,,,
h2^2 g^2 H1,108,14,1,-2,,,,,,
_h1^2 g d1 i1,108,14,1,0,,h0 h2 g^2 G0,,,,
D1 h1^3 i1,108,14,1,2,,D1 h1^4 i1,,,,
"h1^7 x101,14",108,16,1,-2,,,,,,
M h2 g^3,108,16,2,0,,,,,,
h1^2 i1^2,108,16,1,2,,h1^3 i1^2,,,,
h1 h3 g^5,108,22,1,0,,h1^2 h3 g^5,,,,
D^2 A',109,3,1,-1,,D^3 e1 + D^2 C0,,,,
_D^2 h1^3 Q2,109,3,1,1,,_D^2 h1^4 Q2,,,,
"x109,13",109,5,1,-2,,,,,,
_D^2 h1 j1,109,5,1,0,,_D^2 h1^2 j1,,,,
M h1 h6,109,5,1,2,,M h1^2 h6,,,,
M^2 P^2 h2,109,7,1,-3,,,,,,
"x109,10",109,7,2,-1,,_D1 x g,,,,
h1^2 h4 g3,109,7,1,1,,,,,,
D^2 h1^4 Q2,109,7,1,3,,D^2 h1^5 Q2,,,,
"h1 h3 x101,8",109,9,1,-2,,"y110,12",,,,
_t h2^2 g^2 H1,109,9,1,0,,_D^2 h1 g^2 g2,,,,
D^2 h1^4 D4,109,9,1,2,,D^2 h1^5 D4,,,,
"h1^3 x106,14",109,11,2,-4,,,,,,
e1 l1,109,11,1,-2,,,,,,
_D1 h1^3 i1,109,11,1,0,,_D1 h1^4 i1,,,,
_B6 h1 d1 g,109,11,1,2,,_B6 h1^2 d1 g,,,,
D^2 h1^5 h5 c0 e0 + t D^2 h1 g^3,109,11,1,4,,D^2 h1^6 h5 c0 e0,,,,
D^2 h1 g^2 g2,109,13,1,-2,,,,,,
"_h1^7 x101,14",109,13,1,0,,"_h1^8 x101,14",,,,
_h1^2 i1^2,109,13,1,2,,_h1^3 i1^2,,,,
h0 h2 g^2 G0,109,15,1,-1,,,,,,
D1 h1^4 i1,109,15,1,1,,D1 h1^5 i1,,,,
h1^3 i1^2,109,17,1,0,,h1^4 i1^2,,,,
h1^2 h3 g^5,109,23,1,0,,,,,,
D h0^5 h6 i,110,2,1,-1,,,,,,
_t M D^2 h1^2 d0,110,2,1,1,,,,,,
D^3 e1 + D^2 C0,110,4,1,-1,,,,,,
_D^2 h1^4 Q2,110,4,1,1,,,,,,
h2 h4 g3,110,6,1,-4,,,,,,
D h2 h6 g,110,6,1,-2,,,,,,
_D^2 h1^2 j1,110,6,1,0,,,,,,
M h1^2 h6,110,6,1,2,,,,,,
_D^2 h1^4 D4,110,6,1,4,,,,,,
_D1 x g,110,8,1,-4,,,,,,
D^2 h1^5 Q2,110,8,1,-2,,,,,,
M1 h3^2,110,8,1,0,,,,,,
_e1 l1,110,8,1,2,,,,,,
_d1 g Q2,110,8,1,4,,,,,,
"y110,12",110,10,1,-6,,,,,,
_D^2 h1 g^2 g2,110,10,1,-4,,,,,,
D^2 h1^5 D4,110,10,1,-2,,,,,,
"h1 y109,13",110,10,1,0,,,,,,
"x110,14",110,10,1,2,,,,,,
h1^2 h6 d0^2 e0,110,10,1,4,,,,,,
D1 h3^2 g2,110,10,1,6,,,,,,
_D1 h1^4 i1,110,12,1,-2,,,,,,
_B6 h1^2 d1 g,110,12,1,0,,,,,,
D^2 h1^6 h5 c0 e0,110,12,1,2,,,,,,
D1 h2^2 d1 g,110,14,1,-2,,,,,,
"_h1^8 x101,14",110,14,1,0,,,,,,
_h1^3 i1^2,110,14,1,2,,,,,,
D1 h1^5 i1,110,16,1,-1,,,,,,
d1 e1 g^2,110,16,1,1,,,,,,
D h2^2 g^4,110,18,1,-1,,,,,,
h1^4 i1^2,110,18,1,1,,,,,,
