index,stem,Adams-Novikov filtration,order,shift,h1info,h1target,h2info,h2target,drinfo,drtarget
_t^2 c1 g^3,80,8,1,1,,,,,,
_h1 e1 g^2,80,10,1,-1,,_h1^2 e1 g^2,,,3,h1 e1 g^2
P h1^9 h6,80,10,1,1,,P h1^10 h6,,,,
h1^9 h6 c0,80,12,1,-1,,h1^10 h6 c0,,,,
h1 g j1,80,12,1,1,,h1^2 g j1,,,,
h1^2 e1 g^2,80,14,1,-1,,h1^3 e1 g^2,,,,
t g^4,80,14,1,1,,t h1 g^4,,,,
h0 g^4,80,16,2,0,,,1,h2 g^4,,
_D h1 B6,81,3,2,-3,,_D h1^2 B6,,,3,D h1 B6
D^3 h1^2 h3,81,3,1,-1,,,,,,
P^2 h1^2 h6,81,3,1,1,,P^2 h1^3 h6,,,,
h2 h4 h6,81,3,2,3,,,,h2^2 h4 h6,,
"_h1^4 x76,6",81,5,1,-3,,,,,,
h1^3 h4 h6,81,5,1,-1,,,,,,
P h1^2 h6 c0,81,5,1,1,,P h1^3 h6 c0,,,,
D^2 h1 d1,81,5,1,3,,D^2 h1^2 d1,,,,
D h1^2 B6,81,7,1,-4,,,,,,
_P h1^9 h6,81,7,1,-2,,_P h1^10 h6,,,3,P h1^9 h6
h1^2 x1,81,7,1,0,,h1^3 x1,,,,
h2 T1,81,7,1,2,,,,,,
g A',81,7,1,4,,(D e1 + C0) g,,h2 g A',,
_h1^9 h6 c0,81,9,1,0,,_h1^10 h6 c0,,,3,h1^9 h6 c0
_h1^2 e1 g^2,81,11,1,-2,,_h1^3 e1 g^2,,,3,h1^2 e1 g^2
P h1^10 h6,81,11,1,0,,P h1^11 h6,,,,
_t h0^2 g^4,81,11,1,2,,,1,_t h0 h2 g^4,,
h1^10 h6 c0,81,13,1,-1,,h1^11 h6 c0,,,,
h1^2 g j1,81,13,1,1,,,,,,
h1^3 e1 g^2,81,15,1,-1,,,,,,
t h1 g^4,81,15,1,1,,c0 e0^2 g^2,,,,
_P h1^2 h6 c0,82,2,3,0,,_P h1^3 h6 c0,,D^2 x,3,P h1^2 h6 c0
_D h1^2 B6,82,4,1,-3,,D^2 h2 d1,,,3,D h1^2 B6
_h1^2 x1,82,4,1,-1,,_h1^3 x1,,,3,h1^2 x1
P^2 h1^3 h6,82,4,1,1,,P^2 h1^4 h6,,,,
h6 c1,82,4,1,3,,,,h2 h6 c1,,
h0^2 h4 Q3,82,6,1,-4,,,,"P h1 x76,6",,
P h1^3 h6 c0,82,6,1,-2,,P h1^4 h6 c0,,,,
D^2 h1^2 d1,82,6,1,0,,,,,,
D^2 e0^2,82,6,1,2,,D^2 h1 e0^2,,D^2 h0 e0 g,,
h2 x1,82,6,1,4,,,1,h2 h4 Q3,,
_P h1^10 h6,82,8,1,-3,,_P h1^11 h6,,,3,P h1^10 h6
h1^3 x1,82,8,1,-1,,h1^4 x1,,,,
(D e1 + C0) g,82,8,1,1,,D h1 e1 g,,,,
e1 g2,82,8,1,3,,,,h1^3 h4 Q3,,
_h1^10 h6 c0,82,10,1,-1,,_h1^11 h6 c0,,,3,h1^10 h6 c0
_h1^2 g j1,82,10,1,1,,_t h2 c1 g^3,1,M g^2,3,h1^2 g j1
_h1^3 e1 g^2,82,12,1,-1,,,,,3,h1^3 e1 g^2
P h1^11 h6,82,12,1,1,,,,,,
h1^11 h6 c0,82,14,1,0,,h1^12 h6 c0,,,,
c0 e0^2 g^2,82,16,1,-1,2,h2 g^4,,,,
h2 c1 g^3,82,16,1,1,,,,h1^14 h6 c0,,
_P h1^3 h6 c0,83,3,1,-2,,_P h1^4 h6 c0,,,3,P h1^3 h6 c0
_D^2 h1^2 d1,83,3,1,0,,D^2 T,,,3,D^2 h1^2 d1
t h6 g,83,3,1,2,,t h1 h6 g,,,,
