name,cell,image,stem,Adams filtration,weight,Adams-Novikov filtration,h1target,h2target,h3target,theta2,theta3,theta4,theta5
[5-8],B,[5-8],45,5,25,5,[6-7]+v1^2v2^1[6-4],,[6-8],[6-8],,,[6-28]+v2^7[6-10]+v1^3v2^10v3^1[6-2]+v1^48v2^1[6-0]
v1^2v2^1[5-5],B,v1^2v2^1[5-5],45,8,25,5,v1^2v2^1[6-4],,v1^20v2^1[6-0],,,,
v1^17v2^1[5-0],T,v1^16v2^1[6-0],45,22,25,5,v1^17v2^1[6-0]+v1^20[6-0],,,,,,
v1^20[5-0],B,v1^20[5-0],45,25,25,5,v1^20[6-0],,v1^20v2^1[6-0],,,,
v1^1v2^1[7-2],T,v2^1[8-1],45,8,26,7,v1^1v2^1[8-1]+v1^19[8-0],,v1^19v2^1[8-0]+v1^22[8-0],,,,
v1^16v2^1[7-0],B,v1^16v2^1[7-0],45,24,26,7,v1^16v2^1[8-0],,,,,,
v1^19[7-0],T,v1^18[8-0],45,25,26,7,v1^19[8-0],,v1^19v2^1[8-0]+v1^22[8-0],,,,
v1^1[9-1],B,v1^1[9-1],45,10,27,9,,,,,,,
v1^15v2^1[9-0],T,v1^14v2^1[10-0],45,24,27,9,v1^15v2^1[10-0]+v1^18[10-0],,,,,,
v1^18[9-0],B,v1^18[9-0],45,27,27,9,v1^18[10-0],,v1^18v2^1[10-0],,,,
v1^14v2^1[11-0],B,v1^14v2^1[11-0],45,26,28,11,v1^14v2^1[12-0],,,,,,
v1^17[11-0],T,v1^16[12-0],45,27,28,11,v1^17[12-0],,v1^17v2^1[12-0]+v1^20[12-0],,,,
v1^13v2^1[13-0],T,v1^12v2^1[14-0],45,26,29,13,v1^13v2^1[14-0]+v1^16[14-0],,,,,,
v1^16[13-0],B,v1^16[13-0],45,29,29,13,v1^16[14-0],,v1^16v2^1[14-0],,,,
v1^12v2^1[15-0],B,v1^12v2^1[15-0],45,28,30,15,v1^12v2^1[16-0],,,,,,
v1^15[15-0],T,v1^14[16-0],45,29,30,15,v1^15[16-0],,v1^15v2^1[16-0]+v1^18[16-0],,,,
v1^11v2^1[17-0],T,v1^10v2^1[18-0],45,28,31,17,v1^11v2^1[18-0]+v1^14[18-0],,,,,,
v1^14[17-0],B,v1^14[17-0],45,31,31,17,v1^14[18-0],,v1^14v2^1[18-0],,,,
v1^10v2^1[19-0],B,v1^10v2^1[19-0],45,30,32,19,v1^10v2^1[20-0],,,,,,
v1^13[19-0],T,v1^12[20-0],45,31,32,19,v1^13[20-0],,v1^13v2^1[20-0]+v1^16[20-0],,,,
v1^9v2^1[21-0],T,v1^8v2^1[22-0],45,30,33,21,v1^9v2^1[22-0]+v1^12[22-0],,,,,,
v1^12[21-0],B,v1^12[21-0],45,33,33,21,v1^12[22-0],,v1^12v2^1[22-0],,,,
v1^8v2^1[23-0],B,v1^8v2^1[23-0],45,32,34,23,v1^8v2^1[24-0],,,,,,
v1^11[23-0],T,v1^10[24-0],45,33,34,23,v1^11[24-0],,v1^11v2^1[24-0]+v1^14[24-0],,,,
v1^7v2^1[25-0],T,v1^6v2^1[26-0],45,32,35,25,v1^7v2^1[26-0]+v1^10[26-0],,,,,,
v1^10[25-0],B,v1^10[25-0],45,35,35,25,v1^10[26-0],,v1^10v2^1[26-0],,,,
v1^6v2^1[27-0],B,v1^6v2^1[27-0],45,34,36,27,v1^6v2^1[28-0],,,,,,
v1^9[27-0],T,v1^8[28-0],45,35,36,27,v1^9[28-0],,v1^9v2^1[28-0]+v1^12[28-0],,,,
v1^5v2^1[29-0],T,v1^4v2^1[30-0],45,34,37,29,v1^5v2^1[30-0]+v1^8[30-0],,,,,,
v1^8[29-0],B,v1^8[29-0],45,37,37,29,v1^8[30-0],,v1^8v2^1[30-0],,,,
v1^4v2^1[31-0],B,v1^4v2^1[31-0],45,36,38,31,v1^4v2^1[32-0],,,,,,
v1^7[31-0],T,v1^6[32-0],45,37,38,31,v1^7[32-0],,v1^7v2^1[32-0]+v1^10[32-0],,,,
v1^3v2^1[33-0],T,v1^2v2^1[34-0],45,36,39,33,v1^3v2^1[34-0]+v1^6[34-0],,,,,,
v1^6[33-0],B,v1^6[33-0],45,39,39,33,v1^6[34-0],,v1^6v2^1[34-0],,,,
v1^2v2^1[35-0],B,v1^2v2^1[35-0],45,38,40,35,v1^2v2^1[36-0],,,,,,
v1^5[35-0],T,v1^4[36-0],45,39,40,35,v1^5[36-0],,v1^5v2^1[36-0]+v1^8[36-0],,,,
v1^1v2^1[37-0],T,v2^1[38-0],45,38,41,37,,,,,,,
v1^4[37-0],B,v1^4[37-0],45,41,41,37,,,,,,,
v1^23[0-0],T,v1^22[1-0],46,22,23,0,v1^23[1-0],,v1^23v2^1[1-0],,,,
v2^2[2-8],T,v2^2[3-6],46,4,24,2,v1^1v2^2[3-6]+v1^7[3-6],v2^2[3-7]+v1^5v2^1[3-6],,,,v1^2v2^1v3^2v4^1[3-1]+v2^2v3^1v4^1[3-4],
v1^7[2-7],T,v1^6[3-6],46,8,24,2,v1^7[3-6],,v1^22v2^1[3-0],,,,
v1^19v2^1[2-0],T,v1^18v2^1[3-0],46,21,24,2,v1^19v2^1[3-0]+v1^22[3-0],,v1^22v2^1[3-0],,,,
