name,cell,image,stem,Adams filtration,weight,Adams-Novikov filtration,h1target,h2target,h3target,theta2,theta3,theta4,theta5
[0-0],B,[0-0],0,0,0,0,[1-0],[1-1],[1-2],v2^1[1-0]+[1-2],[1-3]+v2^2[1-1]+v1^7[1-0]+v1^4v2^1[1-0],[1-4]+v2^5[1-0]+v1^15[1-0]+v1^12v2^1[1-0],[1-5]+v1^31[1-0]
[1-0],B,[1-0],1,1,1,1,[2-0],,[2-2]+v2^1[2-0],[2-2],[2-4]+v1^4v2^1[2-0],v1^1[2-6]+v1^15[2-0]+[2-7]+v2^5[2-0]+v1^12v2^1[2-0],v1^1[2-10]+v1^31[2-0]+[2-11]
v1^1[0-0],T,[1-0],2,0,1,0,v1^1[1-0],,v1^1[1-2]+v1^1v2^1[1-0]+v1^4[1-0],v1^1[1-2]+v1^4[1-0],v1^1[1-3]+v1^8[1-0],v1^1[1-4]+v1^1v2^5[1-0]+v1^13v2^1[1-0]+v1^16[1-0],v1^1[1-5]+v1^32[1-0]
[2-0],B,[2-0],2,2,2,2,[3-0],,[3-1]+v2^1[3-0],[3-1],[3-2]+v1^1v2^2[3-0],[3-6]+v2^5[3-0],v1^1[3-11]+v1^31[3-0]+[3-13]
[1-1],B,[1-1],3,1,2,1,,[2-1]+v1^2[2-0],,v1^1[2-2]+v1^4[2-0],[2-5],v3^2[2-1]+v1^13v2^1[2-0]+[2-8],[2-12]+v1^1[2-11]
v1^1[1-0],T,[2-0],3,1,2,1,v1^1[2-0],,v1^1[2-2]+v1^1v2^1[2-0],v1^1[2-2]+v1^4[2-0],v1^1[2-4]+v1^8[2-0],v1^1[2-7]+v1^1v2^5[2-0]+v1^13v2^1[2-0]+v1^16[2-0],v1^1[2-11]+v1^32[2-0]
[3-0],B,[3-0],3,3,3,3,[4-0],,v2^1[4-0],,[4-1],[4-4],v1^1[4-11]+v1^31[4-0]+[4-12]
v1^1[2-0],T,[3-0],4,2,3,2,v1^1[3-0],,v1^1v2^1[3-0],,v1^1[3-2]+v1^8[3-0],v1^1[3-6]+v1^16[3-0],v1^1[3-13]+v1^32[3-0]
[4-0],B,[4-0],4,4,4,4,[5-0],,v2^1[5-0],,,[5-5],[5-14]
v1^2[1-0],B,v1^2[1-0],5,3,3,1,v1^2[2-0],,v1^2v2^1[2-0],,v1^2[2-4],v1^2[2-7],v1^3[2-10]+v1^33[2-0]+v1^2[2-11]
v1^1[3-0],T,[4-0],5,3,4,3,v1^1[4-0],,v1^1v2^1[4-0]+v1^4[4-0],,v1^1[4-1]+v1^8[4-0],v1^1[4-4]+v1^16[4-0],v1^1[4-12]+v1^32[4-0]
[5-0],B,[5-0],5,5,5,5,[6-0],,v2^1[6-0],,,[6-4],[6-11]
v1^3[0-0],T,v1^2[1-0],6,2,3,0,v1^3[1-0],,v1^3v2^1[1-0],,v1^3[1-3]+v1^10[1-0],v1^3[1-4]+v1^18[1-0],v1^3[1-5]+v1^34[1-0]
[2-1],B,[2-1],6,2,4,2,v1^2[3-0],[3-1],v1^2v2^1[3-0],,[3-4]+v1^2[3-2],[3-7],v2^11[3-0]+[3-14]
v1^2[2-0],B,v1^2[2-0],6,4,4,2,v1^2[3-0],,v1^2v2^1[3-0],,v1^2[3-2],v1^2[3-6],v1^3[3-11]+v1^33[3-0]+v1^2[3-13]
v1^1[4-0],T,[5-0],6,4,5,4,v1^1[5-0],,v1^1v2^1[5-0],,,v1^1[5-5]+v1^16[5-0],v1^1[5-14]+v1^32[5-0]
[6-0],B,[6-0],6,6,6,6,[7-0],,v2^1[7-0],,,[7-2],[7-9]
[1-2],B,[1-2],7,1,4,1,[2-2]+v2^1[2-0],,[2-3]+v2^2[2-0]+v1^6[2-0],[2-3]+v2^2[2-0]+v1^6[2-0],v2^1[2-4]+v1^3[2-4]+v1^7v2^1[2-0],[2-9]+v1^3[2-7]+v1^15v2^1[2-0]+v1^2v3^2[2-1],[2-13]+v1^3[2-11]+v1^31v2^1[2-0]+v1^34[2-0]
v2^1[1-0],T,[2-1],7,1,4,1,v2^1[2-0],v1^1[2-2]+v1^4[2-0],,v2^2[2-0],v2^1[2-4]+v1^3[2-4]+v1^7v2^1[2-0],v2^1[2-7]+v1^15v2^1[2-0]+v2^6[2-0]+v1^18[2-0],v2^1[2-11]+v1^31v2^1[2-0]+v1^34[2-0]
v1^3[1-0],T,v1^2[2-0],7,3,4,1,v1^3[2-0],,v1^3v2^1[2-0]+v1^6[2-0],,v1^3[2-4]+v1^10[2-0],v1^3[2-7]+v1^18[2-0],v1^3[2-11]+v1^34[2-0]
v1^2[3-0],B,v1^2[3-0],7,5,5,3,v1^2[4-0],,v1^2v2^1[4-0],,v1^2[4-1],v1^2[4-4],v1^2[4-12]
v1^1[5-0],T,[6-0],7,5,6,5,v1^1[6-0],,v1^1v2^1[6-0]+v1^4[6-0],,,v1^1[6-4]+v1^16[6-0],v1^1[6-11]+v1^32[6-0]
[7-0],B,[7-0],7,7,7,7,[8-0],,v2^1[8-0],,,[8-1],[8-11]
[2-2],B,[2-2],8,2,5,2,[3-1],,,v2^2[3-0],,[3-8]+v2^6[3-0]+v1^18[3-0],v1^7v2^2v3^3[3-0]+v1^31v2^1[3-0]+[3-15]
v2^1[2-0],B,v2^1[2-0],8,3,5,2,v2^1[3-0],,,v2^2[3-0],v2^1[3-2]+v1^10[3-0],v2^1[3-6]+v2^6[3-0]+v1^18[3-0],v1^1v2^1[3-11]+v1^31v2^1[3-0]+v2^1[3-13]
v1^3[2-0],T,v1^2[3-0],8,4,5,2,v1^3[3-0],,v1^3v2^1[3-0],,v1^3[3-2]+v1^10[3-0],v1^3[3-6]+v1^18[3-0],v1^3[3-13]+v1^34[3-0]
v1^2[4-0],B,v1^2[4-0],8,6,6,4,v1^2[5-0],,v1^2v2^1[5-0],,,v1^2[5-5],v1^2[5-14]
v1^1[6-0],T,[7-0],8,6,7,6,v1^1[7-0],,v1^1v2^1[7-0],,,v1^1[7-2]+v1^16[7-0],v1^1[7-9]+v1^32[7-0]
[8-0],B,[8-0],8,8,8,8,[9-0],,v2^1[9-0],,,,[9-12]
v1^1[1-2],T,[2-2],9,1,5,1,v1^1[2-2],,v1^4v2^1[2-0],v1^1v2^2[2-0]+v1^7[2-0]+v1^4v2^1[2-0],,v1^1[2-9]+v1^1v2^6[2-0]+v1^16v2^1[2-0],v1^1[2-13]+v1^35[2-0]
v1^1v2^1[1-0],T,v2^1[2-0],9,2,5,1,v1^1v2^1[2-0]+v1^4[2-0],,,v1^1v2^2[2-0]+v1^7[2-0]+v1^4v2^1[2-0],v1^1v2^1[2-4]+v1^8v2^1[2-0],v1^1v2^1[2-7]+v1^1v2^6[2-0]+v1^19[2-0],v1^1v2^1[2-11]+v1^32v2^1[2-0]
v1^4[1-0],B,v1^4[1-0],9,5,5,1,v1^4[2-0],,v1^4v2^1[2-0],,,v1^4[2-7],v1^4[2-11]
[3-1],B,[3-1],9,3,6,3,,,,,,[4-7],v1^7v2^3[4-6]+[4-15]
v2^1[3-0],B,v2^1[3-0],9,4,6,3,v2^1[4-0],,,,v2^1[4-1],v2^1[4-4]+v1^18[4-0],v1^1v2^1[4-11]+v1^31v2^1[4-0]+v2^1[4-12]+v1^34[4-0]
v1^3[3-0],T,v1^2[4-0],9,5,6,3,v1^3[4-0],,v1^3v2^1[4-0]+v1^6[4-0],,v1^3[4-1]+v1^10[4-0],v1^3[4-4]+v1^18[4-0],v1^3[4-12]+v1^34[4-0]
v1^2[5-0],B,v1^2[5-0],9,7,7,5,v1^2[6-0],,v1^2v2^1[6-0],,,v1^2[6-4],v1^2[6-11]
v1^1[7-0],T,[8-0],9,7,8,7,v1^1[8-0],,v1^1v2^1[8-0]+v1^4[8-0],,,v1^1[8-1]+v1^16[8-0],v1^1[8-11]+v1^32[8-0]
[9-0],B,[9-0],9,9,9,9,[10-0],,v2^1[10-0],,,,[10-10]
v1^5[0-0],T,v1^4[1-0],10,4,5,0,v1^5[1-0],,v1^5v2^1[1-0],,,v1^5[1-4]+v1^20[1-0],v1^5[1-5]+v1^36[1-0]
v1^1[2-2],T,[3-1],10,2,6,2,v1^4[3-0],,v1^4v2^1[3-0],v1^1v2^2[3-0],,v1^1[3-8]+v1^19[3-0]+v1^1v2^6[3-0]+v1^16v2^1[3-0],v1^1[3-15]+v1^35[3-0]
v1^1v2^1[2-0],T,v2^1[3-0],10,3,6,2,v1^1v2^1[3-0]+v1^4[3-0],,v1^4v2^1[3-0],v1^1v2^2[3-0],v1^1v2^1[3-2]+v1^11[3-0]+v1^8v2^1[3-0],v1^1v2^1[3-6]+v1^19[3-0]+v1^1v2^6[3-0],v1^1v2^1[3-13]+v1^35[3-0]+v1^32v2^1[3-0]
v1^4[2-0],B,v1^4[2-0],10,6,6,2,v1^4[3-0],,v1^4v2^1[3-0],,,v1^4[3-6],v1^4[3-13]
v2^1[4-0],B,v2^1[4-0],10,5,7,4,v2^1[5-0],,,,v1^1[5-1]+v1^10[5-0],v2^1[5-5],v1^1v2^1[5-12]+v1^31v2^1[5-0]+v2^1[5-14]
v1^3[4-0],T,v1^2[5-0],10,6,7,4,v1^3[5-0],,v1^3v2^1[5-0],,,v1^3[5-5]+v1^18[5-0],v1^3[5-14]+v1^34[5-0]
v1^2[6-0],B,v1^2[6-0],10,8,8,6,v1^2[7-0],,v1^2v2^1[7-0],,,v1^2[7-2],v1^2[7-9]
v1^1[8-0],T,[9-0],10,8,9,8,v1^1[9-0],,v1^1v2^1[9-0],,,,v1^1[9-12]+v1^32[9-0]
[10-0],B,[10-0],10,10,10,10,[11-0],,v2^1[11-0],,,,[11-6]
v1^2v2^1[1-0],B,v1^2v2^1[1-0],11,4,6,1,v1^2v2^1[2-0],,,,v1^2v2^1[2-4]+v1^12[2-0],v1^2v2^1[2-7]+v1^20[2-0],v1^2v2^1[2-11]+v1^33v2^1[2-0]+v1^36[2-0]
v1^5[1-0],T,v1^4[2-0],11,5,6,1,v1^5[2-0],,v1^5v2^1[2-0]+v1^8[2-0],,,v1^5[2-7]+v1^20[2-0],v1^5[2-11]+v1^36[2-0]
v1^1v2^1[3-0],T,v2^1[4-0],11,4,7,3,v1^1v2^1[4-0]+v1^4[4-0],,,,v1^1v2^1[4-1]+v1^8v2^1[4-0],v1^1v2^1[4-4]+v1^16v2^1[4-0],v1^1v2^1[4-12]+v1^32v2^1[4-0]
v1^4[3-0],B,v1^4[3-0],11,7,7,3,v1^4[4-0],,v1^4v2^1[4-0],,,v1^4[4-4],v1^4[4-12]
v2^1[5-0],B,v2^1[5-0],11,6,8,5,v2^1[6-0],,,,,v2^1[6-4]+v1^18[6-0],v2^1[6-11]+v1^34[6-0]
v1^3[5-0],T,v1^2[6-0],11,7,8,5,v1^3[6-0],,v1^3v2^1[6-0]+v1^6[6-0],,,v1^3[6-4]+v1^18[6-0],v1^3[6-11]+v1^34[6-0]
v1^2[7-0],B,v1^2[7-0],11,9,9,7,v1^2[8-0],,v1^2v2^1[8-0],,,v1^2[8-1],v1^2[8-11]
v1^1[9-0],T,[10-0],11,9,10,9,v1^1[10-0],,v1^1v2^1[10-0]+v1^4[10-0],,,,v1^1[10-10]+v1^32[10-0]
[11-0],B,[11-0],11,11,11,11,[12-0],,v2^1[12-0],,,,[12-4]
v1^2v2^1[2-0],B,v1^2v2^1[2-0],12,5,7,2,v1^2v2^1[3-0],,,,,v1^2v2^1[3-6],v1^3v2^1[3-11]+v1^33v2^1[3-0]+v1^2v2^1[3-13]
v1^5[2-0],T,v1^4[3-0],12,6,7,2,v1^5[3-0],,v1^5v2^1[3-0],,,v1^5[3-6]+v1^20[3-0],v1^5[3-13]+v1^36[3-0]
v1^1v2^1[4-0],T,v2^1[5-0],12,5,8,4,v1^1v2^1[5-0]+v1^4[5-0],,v1^4v2^1[5-0],,,v1^1v2^1[5-5]+v1^19[5-0]+v1^16v2^1[5-0],v1^1v2^1[5-14]+v1^35[5-0]+v1^32v2^1[5-0]
v1^4[4-0],B,v1^4[4-0],12,8,8,4,v1^4[5-0],,v1^4v2^1[5-0],,,,v1^4[5-14]
v2^1[6-0],B,v2^1[6-0],12,7,9,6,v2^1[7-0],,,,,v2^1[7-2],v2^1[7-9]
v1^3[6-0],T,v1^2[7-0],12,8,9,6,v1^3[7-0],,v1^3v2^1[7-0],,,v1^3[7-2]+v1^18[7-0],v1^3[7-9]+v1^34[7-0]
v1^2[8-0],B,v1^2[8-0],12,10,10,8,v1^2[9-0],,v1^2v2^1[9-0],,,,v1^2[9-12]
v1^1[10-0],T,[11-0],12,10,11,10,v1^1[11-0],,v1^1v2^1[11-0],,,,v1^1[11-6]+v1^32[11-0]
[12-0],B,[12-0],12,12,12,12,[13-0],,v2^1[13-0],,,,[13-5]
v1^3v2^1[1-0],T,v1^2v2^1[2-0],13,4,7,1,v1^3v2^1[2-0]+v1^6[2-0],,,,,v1^3v2^1[2-7]+v1^18v2^1[2-0],v1^3v2^1[2-11]+v1^34v2^1[2-0]
v1^6[1-0],B,v1^6[1-0],13,7,7,1,v1^6[2-0],,v1^6v2^1[2-0],,,v1^6[2-7],v1^6[2-11]
v1^2v2^1[3-0],B,v1^2v2^1[3-0],13,6,8,3,v1^2v2^1[4-0],,,,,v1^2v2^1[4-4]+v1^20[4-0],v1^2v2^1[4-12]+v1^36[4-0]
v1^5[3-0],T,v1^4[4-0],13,7,8,3,v1^5[4-0],,v1^5v2^1[4-0]+v1^8[4-0],,,v1^5[4-4]+v1^20[4-0],v1^5[4-12]+v1^36[4-0]
v1^1v2^1[5-0],T,v2^1[6-0],13,6,9,5,v1^1v2^1[6-0]+v1^4[6-0],,,,,v1^1v2^1[6-4]+v1^16v2^1[6-0],v1^1v2^1[6-11]+v1^32v2^1[6-0]
v1^4[5-0],B,v1^4[5-0],13,9,9,5,v1^4[6-0],,v1^4v2^1[6-0],,,,v1^4[6-11]
v2^1[7-0],B,v2^1[7-0],13,8,10,7,v2^1[8-0],,,,,v2^1[8-1]+v1^18[8-0],v2^1[8-11]+v1^34[8-0]
v1^3[7-0],T,v1^2[8-0],13,9,10,7,v1^3[8-0],,v1^3v2^1[8-0]+v1^6[8-0],,,v1^3[8-1]+v1^18[8-0],v1^3[8-11]+v1^34[8-0]
v1^2[9-0],B,v1^2[9-0],13,11,11,9,v1^2[10-0],,v1^2v2^1[10-0],,,,v1^2[10-10]
v1^1[11-0],T,[12-0],13,11,12,11,v1^1[12-0],,v1^1v2^1[12-0]+v1^4[12-0],,,,v1^1[12-4]+v1^32[12-0]
[13-0],B,[13-0],13,13,13,13,[14-0],,v2^1[14-0],,,,[14-4]
v1^7[0-0],T,v1^6[1-0],14,6,7,0,v1^7[1-0],,v1^7v2^1[1-0],,,v1^7[1-4]+v1^22[1-0],v1^7[1-5]+v1^38[1-0]
[2-3],B,[2-3],14,2,8,2,v2^2[3-0]+v1^6[3-0],v1^1v2^2[3-0],[3-4]+v1^6v2^1[3-0],v2^3[3-0]+[3-4],,v3^3[3-0]+[3-10],[3-16]
v2^2[2-0],B,v2^2[2-0],14,4,8,2,v2^2[3-0],v1^1v2^2[3-0],,v2^3[3-0],,v2^2[3-6],v1^2v2^1v3^2v4^1[3-1]+v2^2[3-13]
v1^3v2^1[2-0],T,v1^2v2^1[3-0],14,5,8,2,v1^3v2^1[3-0]+v1^6[3-0],,v1^6v2^1[3-0],,,v1^3v2^1[3-6]+v1^21[3-0]+v1^18v2^1[3-0],v1^3v2^1[3-13]+v1^37[3-0]+v1^34v2^1[3-0]
v1^6[2-0],B,v1^6[2-0],14,8,8,2,v1^6[3-0],,v1^6v2^1[3-0],,,v1^6[3-6],v1^6[3-13]
v1^2v2^1[4-0],B,v1^2v2^1[4-0],14,7,9,4,v1^2v2^1[5-0],,,,,v1^2v2^1[5-5]+v1^20[5-0],v1^2v2^1[5-14]
v1^5[4-0],T,v1^4[5-0],14,8,9,4,v1^5[5-0],,v1^5v2^1[5-0],,,,v1^5[5-14]+v1^36[5-0]
v1^1v2^1[6-0],T,v2^1[7-0],14,7,10,6,v1^1v2^1[7-0]+v1^4[7-0],,v1^4v2^1[7-0],,,v1^1v2^1[7-2]+v1^19[7-0]+v1^16v2^1[7-0],v1^1v2^1[7-9]+v1^35[7-0]+v1^32v2^1[7-0]
v1^4[6-0],B,v1^4[6-0],14,10,10,6,v1^4[7-0],,v1^4v2^1[7-0],,,,v1^4[7-9]
v2^1[8-0],B,v2^1[8-0],14,9,11,8,v2^1[9-0],,,,,v1^1[9-1],v2^1[9-12]
v1^3[8-0],T,v1^2[9-0],14,10,11,8,v1^3[9-0],,v1^3v2^1[9-0],,,,v1^3[9-12]+v1^34[9-0]
v1^2[10-0],B,v1^2[10-0],14,12,12,10,v1^2[11-0],,v1^2v2^1[11-0],,,,v1^2[11-6]
v1^1[12-0],T,[13-0],14,12,13,12,v1^1[13-0],,v1^1v2^1[13-0],,,,v1^1[13-5]+v1^32[13-0]
[14-0],B,[14-0],14,14,14,14,[15-0],,v2^1[15-0],,,,[15-2]
[1-3],T,[2-3],15,1,8,1,v1^1v2^2[2-0]+[2-4],v2^2[2-1]+v1^5v2^1[2-0]+[2-5],v2^1[2-4]+v1^3[2-4]+v1^10[2-0],v1^3[2-4]+v1^10[2-0],[2-6]+v2^4[2-1]+v1^14[2-0],v1^7[2-7]+v1^22[2-0],[2-14]+v1^38[2-0]
v2^2[1-1],T,v2^2[2-0],15,3,8,1,v1^1v2^2[2-0]+v1^7[2-0],v2^2[2-1]+v1^5v2^1[2-0],,v1^3[2-4]+v1^10[2-0],,v2^2[2-8]+v1^7[2-7]+v1^19v2^1[2-0],v2^2[2-12]+v1^35v2^1[2-0]+v1^38[2-0]
v1^4v2^1[1-0],B,v1^4v2^1[1-0],15,6,8,1,v1^4v2^1[2-0],,,,,v1^4v2^1[2-7]+v1^22[2-0],v1^4v2^1[2-11]+v1^38[2-0]
v1^7[1-0],T,v1^6[2-0],15,7,8,1,v1^7[2-0],,v1^7v2^1[2-0]+v1^10[2-0],,,v1^7[2-7]+v1^22[2-0],v1^7[2-11]+v1^38[2-0]
v2^2[3-0],B,v2^2[3-0],15,5,9,3,,,,v1^2[4-1],,v2^2[4-4]+v1^6[4-4],v2^2[4-12]
v1^3v2^1[3-0],T,v1^2v2^1[4-0],15,6,9,3,v1^3v2^1[4-0]+v1^6[4-0],,,,,v1^3v2^1[4-4]+v1^18v2^1[4-0],v1^3v2^1[4-12]+v1^34v2^1[4-0]
v1^6[3-0],B,v1^6[3-0],15,9,9,3,v1^6[4-0],,v1^6v2^1[4-0],,,v1^6[4-4],v1^6[4-12]
v1^2v2^1[5-0],B,v1^2v2^1[5-0],15,8,10,5,v1^2v2^1[6-0],,,,,v1^2v2^1[6-4]+v1^20[6-0],v1^2v2^1[6-11]+v1^36[6-0]
v1^5[5-0],T,v1^4[6-0],15,9,10,5,v1^5[6-0],,v1^5v2^1[6-0]+v1^8[6-0],,,,v1^5[6-11]+v1^36[6-0]
v1^1v2^1[7-0],T,v2^1[8-0],15,8,11,7,v1^1v2^1[8-0]+v1^4[8-0],,,,,v1^1v2^1[8-1]+v1^16v2^1[8-0],v1^1v2^1[8-11]+v1^32v2^1[8-0]
v1^4[7-0],B,v1^4[7-0],15,11,11,7,v1^4[8-0],,v1^4v2^1[8-0],,,,v1^4[8-11]
v2^1[9-0],B,v2^1[9-0],15,10,12,9,v2^1[10-0],,,,,,v2^1[10-10]+v1^34[10-0]
v1^3[9-0],T,v1^2[10-0],15,11,12,9,v1^3[10-0],,v1^3v2^1[10-0]+v1^6[10-0],,,,v1^3[10-10]+v1^34[10-0]
v1^2[11-0],B,v1^2[11-0],15,13,13,11,v1^2[12-0],,v1^2v2^1[12-0],,,,v1^2[12-4]
v1^1[13-0],T,[14-0],15,13,14,13,v1^1[14-0],,v1^1v2^1[14-0]+v1^4[14-0],,,,v1^1[14-4]+v1^32[14-0]
[15-0],B,[15-0],15,15,15,15,[16-0],,v2^1[16-0],,,,[16-1]
[2-4],B,[2-4],16,2,9,2,[3-2]+v1^1v2^2[3-0]+v1^4v2^1[3-0],,v2^1[3-2]+v1^10[3-0],,[3-5]+v1^14[3-0],v1^1v2^2[3-6]+v1^19v2^1[3-0]+v1^22[3-0],[3-17]
v1^1v2^2[2-0],T,v2^2[3-0],16,4,9,2,v1^7[3-0]+v1^1v2^2[3-0]+v1^4v2^1[3-0],,v1^7v2^1[3-0],v1^3[3-2]+v1^10[3-0],,v1^1v2^2[3-6]+v1^7[3-6]+v1^19v2^1[3-0],v1^1v2^2[3-13]+v1^35v2^1[3-0]+v1^38[3-0]
v1^4v2^1[2-0],B,v1^4v2^1[2-0],16,7,9,2,v1^4v2^1[3-0],,,,,v1^4v2^1[3-6],v1^4v2^1[3-13]
v1^7[2-0],T,v1^6[3-0],16,8,9,2,v1^7[3-0],,v1^7v2^1[3-0],,,v1^7[3-6]+v1^22[3-0],v1^7[3-13]+v1^38[3-0]
v1^3v2^1[4-0],T,v1^2v2^1[5-0],16,7,10,4,v1^3v2^1[5-0]+v1^6[5-0],,v1^6v2^1[5-0],,,v1^3v2^1[5-5]+v1^21[5-0]+v1^18v2^1[5-0],v1^3v2^1[5-14]+v1^37[5-0]+v1^34v2^1[5-0]
v1^6[4-0],B,v1^6[4-0],16,10,10,4,v1^6[5-0],,v1^6v2^1[5-0],,,,v1^6[5-14]
v1^2v2^1[6-0],B,v1^2v2^1[6-0],16,9,11,6,v1^2v2^1[7-0],,,,,,v1^2v2^1[7-9]
v1^5[6-0],T,v1^4[7-0],16,10,11,6,v1^5[7-0],,v1^5v2^1[7-0],,,,v1^5[7-9]+v1^36[7-0]
v1^1v2^1[8-0],T,v2^1[9-0],16,9,12,8,v1^1v2^1[9-0]+v1^4[9-0],,v1^4v2^1[9-0],,,,v1^1v2^1[9-12]+v1^35[9-0]+v1^32v2^1[9-0]
v1^4[8-0],B,v1^4[8-0],16,12,12,8,v1^4[9-0],,v1^4v2^1[9-0],,,,v1^4[9-12]
v2^1[10-0],B,v2^1[10-0],16,11,13,10,v2^1[11-0],,,,,,v2^1[11-6]
v1^3[10-0],T,v1^2[11-0],16,12,13,10,v1^3[11-0],,v1^3v2^1[11-0],,,,v1^3[11-6]+v1^34[11-0]
v1^2[12-0],B,v1^2[12-0],16,14,14,12,v1^2[13-0],,v1^2v2^1[13-0],,,,v1^2[13-5]
v1^1[14-0],T,[15-0],16,14,15,14,v1^1[15-0],,v1^1v2^1[15-0],,,,v1^1[15-2]+v1^32[15-0]
[16-0],B,[16-0],16,16,16,16,[17-0],,v2^1[17-0],,,,
v1^1[1-3],T,[2-4],17,1,9,1,v1^1[2-4],,v1^1v2^1[2-4],,v1^1[2-6]+v1^15[2-0],,v1^1[2-14]+v1^39[2-0]
v1^5v2^1[1-0],T,v1^4v2^1[2-0],17,6,9,1,v1^5v2^1[2-0]+v1^8[2-0],,,,,v1^5v2^1[2-7]+v1^20v2^1[2-0],v1^5v2^1[2-11]+v1^36v2^1[2-0]
v1^8[1-0],B,v1^8[1-0],17,9,9,1,v1^8[2-0],,v1^8v2^1[2-0],,,,v1^8[2-11]
[3-2],B,[3-2],17,3,10,3,[4-1],,v2^1[4-1],v1^3[4-1]+v1^10[4-0],,,[4-17]
v1^1v2^2[3-0],B,v1^1v2^2[3-0],17,6,10,3,,,,v1^3[4-1]+v1^10[4-0],,v1^1v2^2[4-4]+v1^22[4-0],v1^1v2^2[4-12]
v1^4v2^1[3-0],B,v1^4v2^1[3-0],17,8,10,3,v1^4v2^1[4-0],,,,,v1^4v2^1[4-4]+v1^22[4-0],v1^4v2^1[4-12]+v1^38[4-0]
v1^7[3-0],T,v1^6[4-0],17,9,10,3,v1^7[4-0],,v1^7v2^1[4-0]+v1^10[4-0],,,v1^7[4-4]+v1^22[4-0],v1^7[4-12]+v1^38[4-0]
v1^3v2^1[5-0],T,v1^2v2^1[6-0],17,8,11,5,v1^3v2^1[6-0]+v1^6[6-0],,,,,,v1^3v2^1[6-11]+v1^34v2^1[6-0]
v1^6[5-0],B,v1^6[5-0],17,11,11,5,v1^6[6-0],,v1^6v2^1[6-0],,,,v1^6[6-11]
v1^2v2^1[7-0],B,v1^2v2^1[7-0],17,10,12,7,v1^2v2^1[8-0],,,,,,v1^2v2^1[8-11]+v1^36[8-0]
v1^5[7-0],T,v1^4[8-0],17,11,12,7,v1^5[8-0],,v1^5v2^1[8-0]+v1^8[8-0],,,,v1^5[8-11]+v1^36[8-0]
v1^1v2^1[9-0],T,v2^1[10-0],17,10,13,9,v1^1v2^1[10-0]+v1^4[10-0],,,,,,v1^1v2^1[10-10]+v1^32v2^1[10-0]
v1^4[9-0],B,v1^4[9-0],17,13,13,9,v1^4[10-0],,v1^4v2^1[10-0],,,,v1^4[10-10]
v2^1[11-0],B,v2^1[11-0],17,12,14,11,v2^1[12-0],,,,,,v2^1[12-4]+v1^34[12-0]
v1^3[11-0],T,v1^2[12-0],17,13,14,11,v1^3[12-0],,v1^3v2^1[12-0]+v1^6[12-0],,,,v1^3[12-4]+v1^34[12-0]
v1^2[13-0],B,v1^2[13-0],17,15,15,13,v1^2[14-0],,v1^2v2^1[14-0],,,,v1^2[14-4]
v1^1[15-0],T,[16-0],17,15,16,15,v1^1[16-0],,v1^1v2^1[16-0]+v1^4[16-0],,,,v1^1[16-1]+v1^32[16-0]
[17-0],B,[17-0],17,17,17,17,[18-0],,v2^1[18-0],,,,
v1^9[0-0],T,v1^8[1-0],18,8,9,0,v1^9[1-0],,v1^9v2^1[1-0],,,,v1^9[1-5]+v1^40[1-0]
[2-5],B,[2-5],18,2,10,2,,[3-4],,,v1^1[3-5],v2^2[3-7]+v1^5v2^1[3-6],[3-18]
v1^1[2-4],T,[3-2],18,2,10,2,v1^1[3-2],,v1^1v2^1[3-2]+v1^11[3-0],,v1^1[3-5],,v1^1[3-17]+v1^39[3-0]
v2^2[2-1],T,v1^1v2^2[3-0],18,5,10,2,v1^5v2^1[3-0]+v1^8[3-0],v2^3[3-0]+v1^2[3-2],v1^8v2^1[3-0],,,v2^2[3-7]+v1^23[3-0]+v1^20v2^1[3-0],v2^2[3-14]+v1^39[3-0]+v1^36v2^1[3-0]
v1^5v2^1[2-0],T,v1^4v2^1[3-0],18,7,10,2,v1^5v2^1[3-0]+v1^8[3-0],,v1^8v2^1[3-0],,,v1^5v2^1[3-6]+v1^23[3-0]+v1^20v2^1[3-0],v1^5v2^1[3-13]+v1^39[3-0]+v1^36v2^1[3-0]
v1^8[2-0],B,v1^8[2-0],18,10,10,2,v1^8[3-0],,v1^8v2^1[3-0],,,,v1^8[3-13]
[4-1],B,[4-1],18,4,11,4,,,v1^1[5-1]+v1^10[5-0],,,,[5-18]
v1^4v2^1[4-0],B,v1^4v2^1[4-0],18,9,11,4,v1^4v2^1[5-0],,,,,,v1^4v2^1[5-14]
v1^7[4-0],T,v1^6[5-0],18,10,11,4,v1^7[5-0],,v1^7v2^1[5-0],,,,v1^7[5-14]+v1^38[5-0]
v1^3v2^1[6-0],T,v1^2v2^1[7-0],18,9,12,6,v1^3v2^1[7-0]+v1^6[7-0],,v1^6v2^1[7-0],,,,v1^3v2^1[7-9]+v1^37[7-0]+v1^34v2^1[7-0]
v1^6[6-0],B,v1^6[6-0],18,12,12,6,v1^6[7-0],,v1^6v2^1[7-0],,,,v1^6[7-9]
v1^2v2^1[8-0],B,v1^2v2^1[8-0],18,11,13,8,v1^2v2^1[9-0],,,,,,v1^2v2^1[9-12]
v1^5[8-0],T,v1^4[9-0],18,12,13,8,v1^5[9-0],,v1^5v2^1[9-0],,,,v1^5[9-12]+v1^36[9-0]
