name,stem,Adams-Novikov filtration,order,h1info,h1target,h2target,drinfo,drtarget
P^7 h1^2,58,2,1,,P^7 h1^3,,,
P^6 h1^2 c0,58,4,1,,P^6 h1^3 c0,,,
_P^6 h1^2 c0,59,1,3,,_P^6 h1^3 c0,,3,P^6 h1^2 c0
P^7 h1^3,59,3,1,,P^7 h1^4,,,
P^6 h1^3 c0,59,5,1,loc,,,,
_P^6 h1^3 c0,60,2,1,loc,,,3,P^6 h1^3 c0
P^7 h1^4,60,4,1,,P^7 h1^5,,,
_P^7 h1^4,61,1,1,,_P^7 h1^5,,3,P^7 h1^4
P^7 h1^5,61,5,1,loc,,,,
_P^7 h1^5,62,2,1,loc,,,3,P^7 h1^5
h0^25 h6,63,1,7,,P^7 c0,,,
P^7 c0,64,2,1,,P^7 h1 c0,,,
P^8 h1,65,1,1,,P^8 h1^2,,,
P^7 h1 c0,65,3,1,,P^7 h1^2 c0,,,
P^8 h1^2,66,2,1,,P^8 h1^3,,,
P^7 h1^2 c0,66,4,1,,P^7 h1^3 c0,,,
_P^7 h1^2 c0,67,1,3,,_P^7 h1^3 c0,,3,P^7 h1^2 c0
P^8 h1^3,67,3,1,,P^8 h1^4,,,
P^7 h1^3 c0,67,5,1,loc,,,,
_P^7 h1^3 c0,68,2,1,loc,,,3,P^7 h1^3 c0
P^8 h1^4,68,4,1,,P^8 h1^5,,,
_P^8 h1^4,69,1,1,,_P^8 h1^5,,3,P^8 h1^4
P^8 h1^5,69,5,1,loc,,,,
_P^8 h1^5,70,2,1,loc,,,3,P^8 h1^5
P^6 h0^2 i,71,1,4,,P^8 c0,,,
P^8 c0,72,2,1,,P^8 h1 c0,,,
P^9 h1,73,1,1,,P^9 h1^2,,,
P^8 h1 c0,73,3,1,,P^8 h1^2 c0,,,
P^9 h1^2,74,2,1,,P^9 h1^3,,,
P^8 h1^2 c0,74,4,1,,P^8 h1^3 c0,,,
_P^8 h1^2 c0,75,1,3,,_P^8 h1^3 c0,,3,P^8 h1^2 c0
P^9 h1^3,75,3,1,,P^9 h1^4,,,
P^8 h1^3 c0,75,5,1,loc,,,,
_P^8 h1^3 c0,76,2,1,loc,,,3,P^8 h1^3 c0
P^9 h1^4,76,4,1,,P^9 h1^5,,,
_P^9 h1^4,77,1,1,,_P^9 h1^5,,3,P^9 h1^4
P^9 h1^5,77,5,1,loc,,,,
_P^9 h1^5,78,2,1,loc,,,3,P^9 h1^5
P^4 h0^7 Q',79,1,5,,P^9 c0,,,
P^9 c0,80,2,1,,P^9 h1 c0,,,
P^10 h1,81,1,1,,P^10 h1^2,,,
P^9 h1 c0,81,3,1,,P^9 h1^2 c0,,,
P^10 h1^2,82,2,1,,P^10 h1^3,,,
P^9 h1^2 c0,82,4,1,,P^9 h1^3 c0,,,
_P^9 h1^2 c0,83,1,3,,_P^9 h1^3 c0,,3,P^9 h1^2 c0
P^10 h1^3,83,3,1,,P^10 h1^4,,,
P^9 h1^3 c0,83,5,1,loc,,,,
_P^9 h1^3 c0,84,2,1,loc,,,3,P^9 h1^3 c0
P^10 h1^4,84,4,1,,P^10 h1^5,,,
_P^10 h1^4,85,1,1,,_P^10 h1^5,,3,P^10 h1^4
P^10 h1^5,85,5,1,loc,,,,
_P^10 h1^5,86,2,1,loc,,,3,P^10 h1^5
P^8 h0^2 i,87,1,4,,P^10 c0,,,
P^10 c0,88,2,1,,P^10 h1 c0,,,
P^11 h1,89,1,1,,P^11 h1^2,,,
P^10 h1 c0,89,3,1,,P^10 h1^2 c0,,,
P^11 h1^2,90,2,1,,P^11 h1^3,,,
P^10 h1^2 c0,90,4,1,,P^10 h1^3 c0,,,
_P^10 h1^2 c0,91,1,3,,_P^10 h1^3 c0,,3,P^10 h1^2 c0
P^11 h1^3,91,3,1,,P^11 h1^4,,,
P^10 h1^3 c0,91,5,1,loc,,,,
_P^10 h1^3 c0,92,2,1,loc,,,3,P^10 h1^3 c0
P^11 h1^4,92,4,1,,P^11 h1^5,,,
_P^11 h1^4,93,1,1,,_P^11 h1^5,,3,P^11 h1^4
P^11 h1^5,93,5,1,loc,,,,
_P^11 h1^5,94,2,1,loc,,,3,P^11 h1^5
P^6 h0^6 Q',95,1,6,,P^11 c0,,,
P^11 c0,96,2,1,,P^11 h1 c0,,,
P^12 h1,97,1,1,,P^12 h1^2,,,
P^11 h1 c0,97,3,1,,P^11 h1^2 c0,,,
P^12 h1^2,98,2,1,,P^12 h1^3,,,
P^11 h1^2 c0,98,4,1,,P^11 h1^3 c0,,,
_P^11 h1^2 c0,99,1,3,,_P^11 h1^3 c0,,3,P^11 h1^2 c0
P^12 h1^3,99,3,1,,P^12 h1^4,,,
P^11 h1^3 c0,99,5,1,loc,,,,
_P^11 h1^3 c0,100,2,1,loc,,,3,P^11 h1^3 c0
P^12 h1^4,100,4,1,,P^12 h1^5,,,
_P^12 h1^4,101,1,1,,_P^12 h1^5,,3,P^12 h1^4
P^12 h1^5,101,5,1,loc,,,,
_P^12 h1^5,102,2,1,loc,,,3,P^12 h1^5
P^10 h0^2 i,103,1,4,,P^12 c0,,,
P^12 c0,104,2,1,,P^12 h1 c0,,,
P^13 h1,105,1,1,,P^13 h1^2,,,
P^12 h1 c0,105,3,1,,P^12 h1^2 c0,,,
