name,stem,Adams filtration,weight,tautorsion,h0info,h0target,h1info,h1target,h2info,h2target,h3info,h3target
{0-0},0,0,0,0,,{1-0},,{1-1},,{1-2},,{1-3}
{1-0},0,1,0,0,,{2-0},,,,{2-2},,{2-4}
{2-0},0,2,0,0,,{3-0},,,1,{3-1},,{3-3}
{3-0},0,3,0,0,,{4-0},,,,,,{4-3}
{4-0},0,4,0,0,,{5-0},,,,,,
{5-0},0,5,0,0,,{6-0},,,,,,
{6-0},0,6,0,0,,{7-0},,,,,,
{7-0},0,7,0,0,,{8-0},,,,,,
{8-0},0,8,0,0,,{9-0},,,,,,
{9-0},0,9,0,0,,{10-0},,,,,,
{10-0},0,10,0,0,,{11-0},,,,,,
{11-0},0,11,0,0,,{12-0},,,,,,
{12-0},0,12,0,0,,{13-0},,,,,,
{13-0},0,13,0,0,,{14-0},,,,,,
{14-0},0,14,0,0,,{15-0},,,,,,
{15-0},0,15,0,0,,{16-0},,,,,,
{16-0},0,16,0,0,,{17-0},,,,,,
{17-0},0,17,0,0,,{18-0},,,,,,
{18-0},0,18,0,0,,{19-0},,,,,,
{19-0},0,19,0,0,,{20-0},,,,,,
{20-0},0,20,0,0,,{21-0},,,,,,
{21-0},0,21,0,0,,{22-0},,,,,,
{22-0},0,22,0,0,,{23-0},,,,,,
{23-0},0,23,0,0,,{24-0},,,,,,
{24-0},0,24,0,0,,{25-0},,,,,,
{25-0},0,25,0,0,,{26-0},,,,,,
{26-0},0,26,0,0,,{27-0},,,,,,
{27-0},0,27,0,0,,{28-0},,,,,,
{28-0},0,28,0,0,,{29-0},,,,,,
{29-0},0,29,0,0,,{30-0},,,,,,
{30-0},0,30,0,0,,{31-0},,,,,,
{31-0},0,31,0,0,,{32-0},,,,,,
{32-0},0,32,0,0,,{33-0},,,,,,
{33-0},0,33,0,0,,{34-0},,,,,,
{34-0},0,34,0,0,,{35-0},,,,,,
{35-0},0,35,0,0,,{36-0},,,,,,
{36-0},0,36,0,0,,{37-0},,,,,,
{37-0},0,37,0,0,,{38-0},,,,,,
{38-0},0,38,0,0,,{39-0},,,,,,
{39-0},0,39,0,0,,{40-0},,,,,,
{40-0},0,40,0,0,,{41-0},,,,,,
{41-0},0,41,0,0,,{42-0},,,,,,
{42-0},0,42,0,0,,{43-0},,,,,,
{43-0},0,43,0,0,,{44-0},,,,,,
{44-0},0,44,0,0,,{45-0},,,,,,
{45-0},0,45,0,0,,{46-0},,,,,,
{46-0},0,46,0,0,,{47-0},,,,,,
{47-0},0,47,0,0,,{48-0},,,,,,
{48-0},0,48,0,0,,{49-0},,,,,,
{49-0},0,49,0,0,,{50-0},,,,,,
{50-0},0,50,0,0,,{51-0},,,,,,
{51-0},0,51,0,0,,{52-0},,,,,,
{52-0},0,52,0,0,,{53-0},,,,,,
{53-0},0,53,0,0,,{54-0},,,,,,
{54-0},0,54,0,0,,{55-0},,,,,,
{55-0},0,55,0,0,,{56-0},,,,,,
{56-0},0,56,0,0,,{57-0},,,,,,
{57-0},0,57,0,0,,{58-0},,,,,,
{58-0},0,58,0,0,,{59-0},,,,,,
{59-0},0,59,0,0,,{60-0},,,,,,
{60-0},0,60,0,0,,{61-0},,,,,,
{61-0},0,61,0,0,,{62-0},,,,,,
{62-0},0,62,0,0,,{63-0},,,,,,
{63-0},0,63,0,0,,{64-0},,,,,,
{64-0},0,64,0,0,,,,,,,,
{65-0},0,65,0,0,,,,,,,,
{1-1},1,1,1,0,,,,{2-1},,,,{2-5}
{2-1},2,2,2,0,,,,{3-1},,,,{3-5}
{1-2},3,1,2,0,,{2-2},,,,{2-3},,
{2-2},3,2,2,0,1,{3-1},,,,,,
{3-1},3,3,3,0,,,,{4-1},,,,
{4-1},4,4,4,1,,,,{5-1},,,,
{5-1},5,5,5,1,,,,{6-1},,,,
{2-3},6,2,4,0,,,,,,{3-5},,
{6-1},6,6,6,1,,,,{7-1},,,,
{1-3},7,1,4,0,,{2-4},,{2-5},,,,{2-6}
{2-4},7,2,4,0,,{3-3},,,,,,{3-6}
{3-3},7,3,4,0,,{4-3},,,,,,
{4-3},7,4,4,0,,,,,,,,
{7-1},7,7,7,1,,,,{8-1},,,,
{2-5},8,2,5,0,,,,{3-5},,,,
{3-4},8,3,5,0,,,,{4-4},,,,
{8-1},8,8,8,1,,,,{9-1},,,,
{3-5},9,3,6,0,,,,,,,,
{4-4},9,4,6,0,,,,{5-4},,,,
{5-3},9,5,5,0,,,,{6-3},,,1,{6-9}
{9-1},9,9,9,1,,,,{10-1},,,,
{5-4},10,5,7,1,,,,{6-4},,,,
{6-3},10,6,6,0,,,,{7-3},,,1,{7-9}
{10-1},10,10,10,1,,,,{11-1},,,,
{5-5},11,5,6,0,,{6-5},,,,{6-7},,
{6-4},11,6,8,1,,,,{7-4},,,,
{6-5},11,6,6,0,1,{7-3},,,,,,
{7-3},11,7,7,0,,,,{8-3},,,1,{8-9}
{11-1},11,11,11,1,,,,{12-1},,,,
{7-4},12,7,9,1,,,,{8-4},,,,
{8-3},12,8,8,1,,,,{9-3},,,1,{9-9}
{12-1},12,12,12,1,,,,{13-1},,,,
{8-4},13,8,10,1,,,,{9-4},,,,
{9-3},13,9,9,1,,,,{10-3},,,1,{10-10}
{13-1},13,13,13,1,,,,{14-1},,,,
{2-6},14,2,8,0,,{3-6},,,,,,{3-11}
{3-6},14,3,8,0,,,,,,,,
{4-6},14,4,8,0,,{5-7},,{5-8},,{5-10},,
{5-7},14,5,8,0,,{6-7},,,,{6-10},,
{6-7},14,6,8,0,,,,,1,{7-9},,
{9-4},14,9,11,1,,,,{10-4},,,,
{10-3},14,10,10,1,,,,{11-3},,,1,{11-10}
{14-1},14,14,14,1,,,,{15-1},,,,
{1-4},15,1,8,0,,{2-7},,{2-8},,{2-9},,
{2-7},15,2,8,0,,{3-7},,,,{3-9},,
{3-7},15,3,8,0,,{4-7},,,1,{4-10},,
{4-7},15,4,8,0,,{5-9},,,,,,
{5-8},15,5,9,0,,,,{6-9},,,,
{5-9},15,5,8,0,,{6-8},,,,,,
{6-8},15,6,8,0,,{7-7},,,,,,
{7-7},15,7,8,0,,{8-7},,,,,,
{8-7},15,8,8,0,,,,,,,,
{10-4},15,10,12,1,,,,{11-4},,,,
{11-3},15,11,11,1,,,,{12-3},,,1,{12-10}
{15-1},15,15,15,1,,,,{16-1},,,,
{2-8},16,2,9,0,,,,{3-8},,,,
{6-9},16,6,10,0,,,,{7-9},,,,
{7-8},16,7,9,0,,,,{8-8},,,,
{11-4},16,11,13,1,,,,{12-4},,,,
{12-3},16,12,12,1,,,,{13-3},,,1,{13-10}
{16-1},16,16,16,1,,,,{17-1},,,,
{3-8},17,3,10,0,,,,{4-10},,,,
{4-8},17,4,10,0,,{5-10},,{5-11},,{5-13},,{5-16}
{5-10},17,5,10,0,,{6-10},,,,{6-12},,
{6-10},17,6,10,0,1,{7-9},,,1,{7-11},,
{7-9},17,7,11,0,,,,{8-9},,,,
{8-8},17,8,10,0,,,,{9-8},,,,
{9-7},17,9,9,0,,,,{10-7},,,1,{10-16}
{12-4},17,12,14,1,,,,{13-4},,,,
{13-3},17,13,13,1,,,,{14-3},,,1,{14-10}
{17-1},17,17,17,1,,,,{18-1},,,,
{2-9},18,2,10,0,,{3-9},,,,{3-11},,
{3-9},18,3,10,0,1,{4-10},,,,,,
{4-10},18,4,11,0,,,,,,,,
{4-9},18,4,10,0,1,{5-11},,,,{5-14},,
{5-11},18,5,11,0,,,,{6-11},,,,{6-16}
{8-9},18,8,12,1,,,,{9-9},,,,
{9-8},18,9,11,1,,,,{10-8},,,,
{10-7},18,10,10,0,,,,{11-7},,,1,{11-16}
{13-4},18,13,15,1,,,,{14-4},,,,
{14-3},18,14,14,1,,,,{15-3},,,1,{15-10}
{18-1},18,18,18,1,,,,{19-1},,,,
{3-10},19,3,11,0,,,,,,{4-12},,
{6-11},19,6,12,1,,,,{7-11},,,,{7-18}
{9-10},19,9,10,0,,{10-9},,,,{10-13},,
{9-9},19,9,13,1,,,,{10-10},,,,
{10-8},19,10,12,1,,,,{11-8},,,,
{10-9},19,10,10,0,1,{11-7},,,,,,
{11-7},19,11,11,0,,,,{12-7},,,1,{12-16}
{14-4},19,14,16,1,,,,{15-4},,,,
{15-3},19,15,15,1,,,,{16-3},,,1,{16-10}
{19-1},19,19,19,1,,,,{20-1},,,,
{4-11},20,4,11,0,1,{5-13},,{5-14},1,{5-15},1,{5-18}
{5-13},20,5,12,0,,{6-12},,,,{6-15},,
{6-12},20,6,12,0,1,{7-11},,,,,,
{7-11},20,7,13,1,,,,{8-12},,,,
{10-10},20,10,14,1,,,,{11-10},,,,
{11-8},20,11,13,1,,,,{12-8},,,,
{12-7},20,12,12,1,,,,{13-7},,,1,{13-16}
{15-4},20,15,17,1,,,,{16-4},,,,
{16-3},20,16,16,1,,,,{17-3},,,1,{17-10}
{20-1},20,20,20,1,,,,{21-1},,,,
{3-11},21,3,12,0,,,,,,,,
{5-14},21,5,12,0,,,,,,,1,{6-20}
{8-12},21,8,14,1,,,,{9-13},,,,
{11-10},21,11,15,1,,,,{12-10},,,,
{12-8},21,12,14,1,,,,{13-8},,,,
{13-7},21,13,13,1,,,,{14-7},,,1,{14-17}
{16-4},21,16,18,1,,,,{17-4},,,,
{17-3},21,17,17,1,,,,{18-3},,,1,{18-10}
{21-1},21,21,21,1,,,,{22-1},,,,
{4-12},22,4,13,0,,,,,,,,
{7-12},22,7,13,1,,,,{8-14},,,,
{8-13},22,8,12,0,,{9-14},,{9-15},,{9-19},,
{9-13},22,9,15,1,,,,{10-14},,,,
{9-14},22,9,12,0,,{10-13},,,,{10-19},,
{10-13},22,10,12,0,,,,,1,{11-16},,
{12-10},22,12,16,1,,,,{13-10},,,,
{13-8},22,13,15,1,,,,{14-8},,,,
{14-7},22,14,14,1,,,,{15-7},,,1,{15-17}
{17-4},22,17,19,1,,,,{18-4},,,,
{18-3},22,18,18,1,,,,{19-3},,,1,{19-10}
{22-1},22,22,22,1,,,,{23-1},,,,
{4-13},23,4,13,0,,,,{5-16},,,,
{5-15},23,5,14,0,,{6-15},,,,{6-18},,
{6-15},23,6,14,0,,,,,,{7-18},,
{7-14},23,7,12,0,,{8-16},,,,t^2{8-19}+{8-20},,{8-24}
{8-14},23,8,14,1,,,,{9-17},,,,
{8-16},23,8,12,0,,{9-16},,,1,{9-20},,{9-27}
{9-15},23,9,13,0,,,,{10-16},,,,
{9-16},23,9,12,0,,{10-15},,,,,,{10-27}
{10-14},23,10,16,1,,,,{11-15},,,,
{10-15},23,10,12,0,,{11-13},,,,,1,{11-23}
{11-13},23,11,12,0,,{12-12},,,,,,
{12-12},23,12,12,0,,,,,,,,
{13-10},23,13,17,1,,,,{14-10},,,,
{14-8},23,14,16,1,,,,{15-8},,,,
{15-7},23,15,15,1,,,,{16-7},,,1,{16-17}
{18-4},23,18,20,1,,,,{19-4},,,,
{19-3},23,19,19,1,,,,{20-3},,,1,{20-10}
{23-1},23,23,23,1,,,,{24-1},,,,
{5-16},24,5,14,0,,,,{6-16},,,,
{9-17},24,9,15,1,,,,{10-17},,,,
{10-16},24,10,14,0,,,,{11-16},,,,
{11-14},24,11,13,0,,,,{12-14},,,,
{11-15},24,11,17,1,,,,{12-15},,,,
{14-10},24,14,18,1,,,,{15-10},,,,
{15-8},24,15,17,1,,,,{16-8},,,,
{16-7},24,16,16,1,,,,{17-7},,,1,{17-17}
{19-4},24,19,21,1,,,,{20-4},,,,
{20-3},24,20,20,1,,,,{21-3},,,1,{21-10}
{24-1},24,24,24,1,,,,{25-1},,,,
{6-16},25,6,15,1,,,,{7-18},,,,
{7-16},25,7,15,1,,,,{8-19},,,,
{8-17},25,8,14,0,,{9-19},,{9-20},,{9-24},,
{9-19},25,9,14,0,,{10-19},,,,{10-23},,
{10-17},25,10,16,1,,,,{11-17},,,,
{10-19},25,10,14,0,1,{11-16},,,1,{11-20},,
{11-16},25,11,15,0,,,,{12-16},,,,
{12-14},25,12,14,0,,,,{13-14},,,,
{12-15},25,12,18,1,,,,{13-15},,,,
{13-12},25,13,13,0,,,,{14-12},3,{14-17},1,{14-26}
{15-10},25,15,19,1,,,,{16-10},,,,
{16-8},25,16,18,1,,,,{17-8},,,,
{17-7},25,17,17,1,,,,{18-7},,,1,{18-17}
{20-4},25,20,22,1,,,,{21-4},,,,
{21-3},25,21,21,1,,,,{22-3},,,1,{22-10}
{25-1},25,25,25,1,,,,{26-1},,,,
{6-18},26,6,16,0,,{7-18},,,,{7-21},,
{7-17},26,7,14,0,,{8-20},,,,{8-23},,
{7-18},26,7,16,1,,,,,,,,
{8-19},26,8,16,1,,,,{9-22},,,,
{8-20},26,8,14,0,1,{9-20},,,1,{9-25},,
{9-20},26,9,15,0,,,,{10-20},,,,
{11-17},26,11,17,1,,,,{12-18},,,,
{12-16},26,12,16,1,,,,{13-16},,,,
{13-14},26,13,15,1,,,,{14-14},,,,
{13-15},26,13,19,1,,,,{14-15},,,,
{14-12},26,14,14,0,,,,{15-12},3,{15-17},1,{15-26}
{16-10},26,16,20,1,,,,{17-10},,,,
{17-8},26,17,19,1,,,,{18-8},,,,
{18-7},26,18,18,1,,,,{19-7},,,1,{19-17}
{21-4},26,21,23,1,,,,{22-4},,,,
{22-3},26,22,22,1,,,,{23-3},,,1,{23-10}
{26-1},26,26,26,1,,,,{27-1},,,,
{5-18},27,5,16,1,,,,{6-20},,,,{6-26}
{9-22},27,9,17,1,,,,{10-22},,,,
{10-20},27,10,16,1,,,,{11-20},,,,
{12-18},27,12,18,1,,,,{13-19},,,,
{13-16},27,13,17,1,,,,{14-17},,,,
{13-17},27,13,14,0,,{14-16},,,,{14-22},,
{14-14},27,14,16,1,,,,{15-14},,,,
{14-15},27,14,20,1,,,,{15-15},,,,
{14-16},27,14,14,0,1,{15-12},,,,,,
{15-12},27,15,15,0,,,,{16-12},3,{16-17},1,{16-26}
{17-10},27,17,21,1,,,,{18-10},,,,
{18-8},27,18,20,1,,,,{19-8},,,,
{19-7},27,19,19,1,,,,{20-7},,,1,{20-17}
{22-4},27,22,24,1,,,,{23-4},,,,
{23-3},27,23,23,1,,,,{24-3},,,1,{24-10}
{27-1},27,27,27,1,,,,{28-1},,,,
{6-20},28,6,17,1,,,,{7-21},,,,
{8-21},28,8,16,0,,{9-24},,{9-25},,{9-29},,
{9-24},28,9,16,0,,{10-23},,,,{10-28},,
{10-22},28,10,18,1,,,,{11-22},,,,
{10-23},28,10,16,0,1,{11-20},,,,,,
{11-20},28,11,17,1,,,,{12-21},,,,
{13-19},28,13,19,1,,,,{14-19},,,,
{14-17},28,14,18,1,,,,{15-17},,,,
{15-14},28,15,17,1,,,,{16-14},,,,
{15-15},28,15,21,1,,,,{16-15},,,,
{16-12},28,16,16,1,,,,{17-12},3,{17-17},1,{17-26}
{18-10},28,18,22,1,,,,{19-10},,,,
{19-8},28,19,21,1,,,,{20-8},,,,
{20-7},28,20,20,1,,,,{21-7},,,1,{21-17}
{23-4},28,23,25,1,,,,{24-4},,,,
{24-3},28,24,24,1,,,,{25-3},,,1,{25-10}
{28-1},28,28,28,1,,,,{29-1},,,,
{7-20},29,7,16,0,,{8-23},,,,{8-27},,
{7-21},29,7,18,1,,,,,,,,
{8-23},29,8,16,0,1,{9-25},,,1,{9-31},,
{9-25},29,9,17,0,,,,{10-25},,,,
{11-22},29,11,19,1,,,,{12-24},,,,
{12-21},29,12,18,1,,,,{13-22},,,,
{14-19},29,14,20,1,,,,{15-19},,,,
{15-17},29,15,19,1,,,,{16-17},,,,
{16-14},29,16,18,1,,,,{17-14},,,,
{16-15},29,16,22,1,,,,{17-15},,,,
{17-12},29,17,17,1,,,,{18-12},3,{18-17},1,{18-27}
{19-10},29,19,23,1,,,,{20-10},,,,
{20-8},29,20,22,1,,,,{21-8},,,,
{21-7},29,21,21,1,,,,{22-7},,,1,{22-17}
{24-4},29,24,26,1,,,,{25-4},,,,
{25-3},29,25,25,1,,,,{26-3},,,1,{26-10}
{29-1},29,29,29,1,,,,{30-1},,,,
{2-10},30,2,16,0,,{3-12},,{3-13},,,,
{3-12},30,3,16,0,,{4-15},,,,,,
{4-15},30,4,16,0,,{5-20},,,,,,
{5-20},30,5,16,0,,,,,,,,
{6-21},30,6,16,0,,{7-22},,,,{7-25},,t^1{7-27}+t^2{7-28}+{7-29}
{7-22},30,7,16,0,,{8-24},,,,,,{8-31}
{8-24},30,8,16,0,,{9-27},,,,,2,{9-36}
{9-27},30,9,16,0,,{10-27},,,,,2,{10-37}
{10-25},30,10,18,1,,,,{11-25},,,,
{10-27},30,10,16,0,1,{11-23},,,,,3,{11-36}
{11-23},30,11,17,0,,,,{12-25},,,,
{12-23},30,12,16,0,,{13-24},,{13-25},,{13-32},,
{12-24},30,12,20,1,,,,{13-26},,,,
{13-22},30,13,19,1,,,,{14-23},,,,
{13-24},30,13,16,0,,{14-22},,,,{14-30},,
{14-22},30,14,16,0,,,,,1,{15-26},,
{15-19},30,15,21,1,,,,{16-19},,,,
{16-17},30,16,20,1,,,,{17-17},,,,
{17-14},30,17,19,1,,,,{18-14},,,,
{17-15},30,17,23,1,,,,{18-15},,,,
{18-12},30,18,18,1,,,,{19-12},3,{19-17},1,{19-27}
{20-10},30,20,24,1,,,,{21-10},,,,
{21-8},30,21,23,1,,,,{22-8},,,,
{22-7},30,22,22,1,,,,{23-7},,,1,{23-17}
{25-4},30,25,27,1,,,,{26-4},,,,
{26-3},30,26,26,1,,,,{27-3},,,1,{27-10}
{30-1},30,30,30,1,,,,{31-1},,,,
{1-5},31,1,16,0,,{2-11},,{2-12},,{2-13},,{2-14}
{2-11},31,2,16,0,,{3-14},,,,{3-16},,{3-18}
{3-13},31,3,17,0,,,,,,,,
{3-14},31,3,16,0,,{4-16},,,1,{4-19},,{4-22}
{4-16},31,4,16,0,,{5-22},,,,,,{5-29}
{5-21},31,5,17,0,,,,,,{6-25},1,{6-30}
{5-22},31,5,16,0,,{6-23},,,,,,
{6-23},31,6,16,0,,{7-23},,,,,,
{7-23},31,7,16,0,,{8-26},,,,,,
{8-25},31,8,18,0,,{9-29},,{9-31},,{9-33},,
{8-26},31,8,16,0,,{9-30},,,,,,
{9-29},31,9,18,0,,{10-28},,,,{10-33},,
{9-30},31,9,16,0,,{10-29},,,,,,
{10-28},31,10,18,0,,,,,1,{11-31},,
{10-29},31,10,16,0,,{11-27},,,,,,
{11-25},31,11,19,1,,,,{12-28},,,,
{11-27},31,11,16,0,,{12-27},,,,,,
{12-25},31,12,18,1,,,,{13-28},,,,
{12-27},31,12,16,0,,{13-27},,,,,,
{13-25},31,13,17,0,,,,{14-26},,,,
{13-26},31,13,21,1,,,,{14-27},,,,
{13-27},31,13,16,0,,{14-25},,,,,,
{14-23},31,14,20,1,,,,{15-24},,,,
{14-25},31,14,16,0,,{15-22},,,,,,
{15-22},31,15,16,0,,{16-21},,,,,,
{16-19},31,16,22,1,,,,{17-19},,,,
{16-21},31,16,16,0,,,,,,,,
{17-17},31,17,21,1,,,,{18-17},,,,
{18-14},31,18,20,1,,,,{19-14},,,,
{18-15},31,18,24,1,,,,{19-15},,,,
{19-12},31,19,19,1,,,,{20-12},3,{20-17},1,{20-27}
{21-10},31,21,25,1,,,,{22-10},,,,
{22-8},31,22,24,1,,,,{23-8},,,,
{23-7},31,23,23,1,,,,{24-7},,,1,{24-17}
{26-4},31,26,28,1,,,,{27-4},,,,
{27-3},31,27,27,1,,,,{28-3},,,1,{28-10}
{31-1},31,31,31,1,,,,{32-1},,,,
{2-12},32,2,17,0,,,,{3-15},,,,{3-19}
{4-17},32,4,18,0,,,,{5-23},,{5-24},,{5-30}
{6-24},32,6,17,0,,,,{7-25},,,2,{7-31}
{7-24},32,7,18,0,,{8-27},,,,{8-29},,
{8-27},32,8,18,0,1,{9-31},,,1,{9-34},,
{9-31},32,9,19,0,,,,{10-31},,,,
{12-28},32,12,20,1,,,,{13-30},,,,
{13-28},32,13,19,1,,,,{14-28},,,,
{14-26},32,14,18,0,,,,{15-26},,,,
{14-27},32,14,22,1,,,,{15-27},,,,
{15-23},32,15,17,0,,,,{16-23},,,,
{15-24},32,15,21,1,,,,{16-24},,,,
{17-19},32,17,23,1,,,,{18-19},,,,
{18-17},32,18,22,1,,,,{19-17},,,,
{19-14},32,19,21,1,,,,{20-14},,,,
{19-15},32,19,25,1,,,,{20-15},,,,
{20-12},32,20,20,1,,,,{21-12},3,{21-17},1,{21-27}
{22-10},32,22,26,1,,,,{23-10},,,,
{23-8},32,23,25,1,,,,{24-8},,,,
{24-7},32,24,24,1,,,,{25-7},,,1,{25-17}
{27-4},32,27,29,1,,,,{28-4},,,,
{28-3},32,28,28,1,,,,{29-3},,,1,{29-10}
{32-1},32,32,32,1,,,,{33-1},,,,
{3-15},33,3,18,0,,,,{4-19},,,,{4-25}
{4-18},33,4,18,0,1,{5-23},,,,,,{5-32}
{5-23},33,5,19,0,,,,{6-26},,,,{6-34}
{7-25},33,7,18,0,,,,,,,,
{10-31},33,10,20,1,,,,{11-31},,,,
{11-29},33,11,19,1,,,,{12-32},,,,
{12-30},33,12,18,0,,{13-32},,{13-33},,t^3{13-38}+{13-39},,
{13-30},33,13,21,1,,,,{14-31},,,,
{13-32},33,13,18,0,,{14-30},,,,{14-37},,
{14-28},33,14,20,1,,,,{15-28},,,,
{14-30},33,14,18,0,1,{15-26},,,1,{15-33},,
{15-26},33,15,19,0,,,,{16-26},,,,
{15-27},33,15,23,1,,,,{16-27},,,,
{16-23},33,16,18,0,,,,{17-23},,,,
{16-24},33,16,22,1,,,,{17-24},,,,
{17-21},33,17,17,0,,,,{18-21},3,{18-27},1,{18-39}
{18-19},33,18,24,1,,,,{19-19},,,,
{19-17},33,19,23,1,,,,{20-17},,,,
{20-14},33,20,22,1,,,,{21-14},,,,
{20-15},33,20,26,1,,,,{21-15},,,,
{21-12},33,21,21,1,,,,{22-12},3,{22-17},1,{22-27}
{23-10},33,23,27,1,,,,{24-10},,,,
{24-8},33,24,26,1,,,,{25-8},,,,
{25-7},33,25,25,1,,,,{26-7},,,1,{26-17}
{28-4},33,28,30,1,,,,{29-4},,,,
{29-3},33,29,29,1,,,,{30-3},,,1,{30-10}
{33-1},33,33,33,1,,,,{34-1},,,,
{2-13},34,2,18,0,,{3-16},,,,{3-17},,
{3-16},34,3,18,0,1,{4-19},,,,,,
{4-19},34,4,19,0,,,,{5-26},,,,
{6-25},34,6,19,0,,,,,,{7-27},1,{7-34}
{6-26},34,6,20,1,,,,,,,,{7-34}
{8-28},34,8,20,0,,{9-33},,{9-34},,{9-36},,
{9-33},34,9,20,0,,{10-33},,,,{10-37},,
{10-33},34,10,20,0,1,{11-31},,,1,{11-36},,
{11-31},34,11,21,1,,,,{12-35},,,,
{11-32},34,11,18,0,,{12-34},3,{12-35},,{12-40},,
{12-32},34,12,20,1,,,,{13-35},,,,
{12-34},34,12,18,0,1,{13-33},,,1,{13-40},,
{13-33},34,13,19,0,,,,{14-33},3,{14-39},,
{14-31},34,14,22,1,,,,{15-31},,,,
{15-28},34,15,21,1,,,,{16-29},,,,
{16-26},34,16,20,1,,,,{17-26},,,,
{16-27},34,16,24,1,,,,{17-27},,,,
{17-23},34,17,19,1,,,,{18-23},,,,
{17-24},34,17,23,1,,,,{18-24},,,,
{18-21},34,18,18,0,,,,{19-21},3,{19-27},1,{19-39}
{19-19},34,19,25,1,,,,{20-19},,,,
{20-17},34,20,24,1,,,,{21-17},,,,
{21-14},34,21,23,1,,,,{22-14},,,,
{21-15},34,21,27,1,,,,{22-15},,,,
{22-12},34,22,22,1,,,,{23-12},3,{23-17},1,{23-27}
{24-10},34,24,28,1,,,,{25-10},,,,
{25-8},34,25,27,1,,,,{26-8},,,,
{26-7},34,26,26,1,,,,{27-7},,,1,{27-17}
{29-4},34,29,31,1,,,,{30-4},,,,
{30-3},34,30,30,1,,,,{31-3},,,1,{31-10}
{34-1},34,34,34,1,,,,{35-1},,,,
{5-24},35,5,20,0,,,,,,{6-30},,
{5-26},35,5,20,1,,,,{6-28},,,,
{7-26},35,7,20,0,,{8-29},,,,{8-32},1,{8-37}
{8-29},35,8,20,0,1,{9-34},,,1,{9-37},,
{9-34},35,9,21,0,,,,{10-35},,,,
{12-35},35,12,22,1,,,,{13-38},,,,
{13-35},35,13,21,1,,,,{14-35},,,,
{14-33},35,14,20,1,,,,{15-33},3,{15-39},,
{15-31},35,15,23,1,,,,{16-32},,,,
{16-29},35,16,22,1,,,,{17-30},,,,
{17-26},35,17,21,1,,,,{18-27},,,,
{17-27},35,17,25,1,,,,{18-28},,,,
{17-28},35,17,18,0,,{18-26},,,,{18-35},,
{18-23},35,18,20,1,,,,{19-23},,,,
{18-24},35,18,24,1,,,,{19-24},,,,
{18-26},35,18,18,0,1,{19-21},,,,,,
{19-21},35,19,19,0,,,,{20-21},3,{20-27},1,{20-39}
{20-19},35,20,26,1,,,,{21-19},,,,
{21-17},35,21,25,1,,,,{22-17},,,,
{22-14},35,22,24,1,,,,{23-14},,,,
{22-15},35,22,28,1,,,,{23-15},,,,
{23-12},35,23,23,1,,,,{24-12},3,{24-17},1,{24-27}
{25-10},35,25,29,1,,,,{26-10},,,,
{26-8},35,26,28,1,,,,{27-8},,,,
{27-7},35,27,27,1,,,,{28-7},,,1,{28-17}
{30-4},35,30,32,1,,,,{31-4},,,,
{31-3},35,31,31,1,,,,{32-3},,,1,{32-10}
{35-1},35,35,35,1,,,,{36-1},,,,
{6-27},36,6,20,0,,,,{7-27},1,{7-31},,
{6-28},36,6,21,1,,,,{7-28},,,,
{10-35},36,10,22,1,,,,{11-36},,,,
{11-34},36,11,21,1,,,,{12-38},,,,
{12-36},36,12,20,0,,{13-39},,{13-40},,t^3{13-45}+{13-46},,
{13-38},36,13,23,1,,,,{14-39},,,,
{13-39},36,13,20,0,,{14-37},,,,{14-45},,
{14-35},36,14,22,1,,,,{15-35},,,,
{14-37},36,14,20,0,1,{15-33},,,,,,
{15-33},36,15,21,1,,,,{16-34},3,{16-41},,
{16-32},36,16,24,1,,,,{17-33},,,,
{17-30},36,17,23,1,,,,{18-30},,,,
{18-27},36,18,22,1,,,,{19-27},,,,
{18-28},36,18,26,1,,,,{19-28},,,,
{19-23},36,19,21,1,,,,{20-23},,,,
{19-24},36,19,25,1,,,,{20-24},,,,
{20-21},36,20,20,1,,,,{21-21},3,{21-27},1,{21-39}
{21-19},36,21,27,1,,,,{22-19},,,,
{22-17},36,22,26,1,,,,{23-17},,,,
{23-14},36,23,25,1,,,,{24-14},,,,
{23-15},36,23,29,1,,,,{24-15},,,,
{24-12},36,24,24,1,,,,{25-12},3,{25-17},1,{25-27}
{26-10},36,26,30,1,,,,{27-10},,,,
{27-8},36,27,29,1,,,,{28-8},,,,
{28-7},36,28,28,1,,,,{29-7},,,1,{29-17}
{31-4},36,31,33,1,,,,{32-4},,,,
{32-3},36,32,32,1,,,,{33-3},,,1,{33-10}
{36-1},36,36,36,1,,,,{37-1},,,,
{3-17},37,3,20,0,,,,,,{4-25},,
{5-27},37,5,20,0,,{6-29},1,{6-30},,,,{6-39}
{6-29},37,6,20,0,,{7-29},,,,,,
{7-27},37,7,21,0,,,,,,,,
{7-28},37,7,22,1,,,,{8-33},,,,
{7-29},37,7,20,0,,{8-31},,,,,,
{8-30},37,8,22,0,,{9-36},,{9-37},,{9-40},,{9-47}
{8-31},37,8,20,0,2,{9-36},,,,,,
{9-36},37,9,22,0,,{10-37},,,,{10-42},,
{10-37},37,10,22,0,1,{11-36},,,1,{11-41},,
{11-36},37,11,23,1,,,,{12-41},,,,
{11-37},37,11,20,0,,{12-40},3,{12-41},,{12-46},,
{12-38},37,12,22,1,,,,{13-42},,,,
