source,type,stem,Adams-Novikov filtration,target
h2,h0,3,1,h1^3
P h2,h0,11,1,P h1^3
P^2 h2,h0,19,1,P^2 h1^3
P^3 h2,h0,27,1,P^3 h1^3
P^4 h2,h0,35,1,P^4 h1^3
P^5 h2,h0,43,1,P^5 h1^3
P^6 h2,h0,51,1,P^6 h1^3
P^7 h2,h0,59,1,P^7 h1^3
P^8 h2,h0,67,1,P^8 h1^3
P^9 h2,h0,75,1,P^9 h1^3
P^10 h2,h0,83,1,P^10 h1^3
P^11 h2,h0,91,1,P^11 h1^3
P^12 h2,h0,99,1,P^12 h1^3
P^13 h2,h0,107,1,P^13 h1^3
