name,stem,Adams-Novikov filtration,order,shift,h1info,h1target,h2info,h2target,drinfo,drtarget
h2^2,6,2,1,0,,,,h1^2 h3,,
h1 h3,8,2,1,0,,h1^2 h3,,,,
h1^2 h3,9,3,1,0,,,,,,
h3^2,14,2,1,-1,,,,,,
d0,14,2,1,1,,h1 d0,,h0 e0,,
h1 d0,15,3,1,0,,,,,,
h1 h4,16,2,1,0,,h1^2 h4,,,,
h0 e0,17,3,1,-1,,,1,h0 g,,
h1^2 h4,17,3,1,1,,h1^3 h4,,,,
h2 h4,18,2,2,0,,,,h2^2 h4,,
h1^3 h4,18,4,1,0,,,,,,
c1,19,3,1,0,,,,h2 c1,,
t g,20,2,1,0,,t h1 g,,,,
h0 g,20,4,2,0,,,1,h2 g,,
h2^2 h4,21,3,1,-1,,,,,,
t h1 g,21,3,1,1,,c0 d0,,,,
h2 c1,22,4,1,-1,,,,,,
c0 d0,22,4,1,1,2,h2 g,,,,
h4 c0,23,3,1,0,,h1 h4 c0,,,,
h2 g,23,5,3,0,,,,h2^2 g,,
h1 h4 c0,24,4,1,0,,,,,,
h2^2 g,26,6,1,0,,,,,,
h1 h3 g,28,6,1,0,,,,,,
h4^2,30,2,1,0,,h1 h4^2,,p,,
h1 h4^2,31,3,1,-1,,,,,,
n,31,3,1,1,,,,h2 n,,
q,32,2,1,-1,,h1 q,,,,
h1 h5,32,2,1,1,,h1^2 h5,,,,
d1,32,4,1,0,,,,h2 d1,,
p,33,3,1,-2,,,,,,
h1 q,33,3,1,0,,,,,,
h1^2 h5,33,3,1,2,,h1^3 h5,,,,
h0 h2 h5,34,2,1,0,,,,,,
h2 n,34,4,1,-1,,,,,,
h1^3 h5,34,4,1,1,,,,,,
e0^2,34,6,1,0,,h1 e0^2,,,,
h2 d1,35,5,1,0,,,,h2^2 d1,,
h1 e0^2,35,7,1,0,,,,,,
T,36,4,1,0,,,,,,
x,37,3,1,-1,,,,,,
h2^2 h5,37,3,1,1,,,,h1^2 h3 h5,,
h0^2 h3 h5,38,2,2,0,,,,,,
