name,stem,Adams filtration,weight,cell,shift,h0info,h0target,h1info,h1target,h2info,h2target,drinfo,drtarget
h0 g^2 m,75,16,44,0,-1,,,,,,,2,h0^2 e0^2 g^2
_t h0 e0^2 g^2,75,16,42,1,1,,_t h0^2 e0^2 g^2,h,D h1 e0^3,,_t h0^2 e0 g^3,,
_t h0^2 e0^2 g^2,75,17,42,1,-2,h,d0 j m,,,h,d0 k m,,
M P c0 d0,75,17,41,0,0,,,,loc,,,,
_D h1^2 d0 e0^2,75,17,41,1,2,,,,loc,,,,
d0 j m,75,18,42,0,-2,,,,,,,,
_D c0 d0^3,75,18,40,1,0,,_t h0 d0^3 l,,loc,,_t h0 d0^3 m,,
M P^2 d0,75,18,40,0,2,,M P^2 h0 d0,,loc,,M P^2 h0 e0,,
_t h0 d0^3 l,75,19,40,1,-2,,_t^2 h1 d0^4 e0,,,,_t^2 h1 d0^3 e0^2,2,_t h0^2 d0^4 e0
M P^2 h0 d0,75,19,40,0,0,,M P^2 h0^2 d0,,,,M P^2 h0^2 e0,,
_P D^2 h1^4 d0,75,19,39,1,2,,,,loc,,,,
_t^2 h1 d0^4 e0,75,20,40,1,-1,,,,,,,2,P^2 i m
M P^2 h0^2 d0,75,20,40,0,1,,,,,,,,
P D h1 d0^3,75,21,41,0,0,,,,loc,,,,
P c0 d0^3 e0,75,23,43,0,0,,,,loc,,,,
P^2 d0^3 e0,75,24,42,0,0,,P^2 h0 d0^3 e0,,loc,,P h0 d0^5,,
P^2 h0 d0^3 e0,75,25,42,0,-1,,P^2 h0^2 d0^3 e0,,,,P h0^2 d0^5,,
_P^2 h1^2 d0^4,75,25,41,1,1,,,,loc,,,,
P^2 h0^2 d0^3 e0,75,26,42,0,-1,,,,,,,,
_P^3 c0 d0^3,75,26,40,1,1,h,P^3 d0^2 i,,loc,h,P^3 d0^2 j,,
P^3 d0^2 i,75,27,40,0,-1,,P^3 h0 d0^2 i,,,,P^3 h0 d0^2 j,2,P^4 h0 d0^3
_P^4 D h1^4 d0,75,27,39,1,1,,,,loc,,,,
P^3 h0 d0^2 i,75,28,40,0,0,,,,,,,2,P^4 h0^2 d0^3
_P^7 h1^4 d0,75,35,39,1,0,,,,loc,,,,
