name,stem,Adams filtration,weight,cell,shift,h1info,h1target,drinfo,drtarget
_t h0 d0 e0 g^3,92,20,52,1,0,h,D h1 e0^4,,
M h1^7 g^2,92,21,55,0,0,,,,
M c0 g^2,93,17,53,0,0,,M h1 c0 g^2,,
M D h1^4 g,93,18,52,0,0,,M D h1^5 g,,
M h1^3 c0 e0 g,93,20,54,0,0,,M h1^4 c0 e0 g,,
D h1 e0^4,93,21,53,0,0,,,,
_P^11 h1^4,93,47,47,1,0,,loc,,
D^2 M h1,94,15,49,0,0,,D^2 M h1^2,,
M D c0 e0,94,17,51,0,0,,M D h1 c0 e0,,
M h1 c0 g^2,94,18,54,0,0,,M h1^2 c0 g^2,,
M D h1^5 g,94,19,53,0,-1,,M D h1^6 g,,
D^3 c0 d0,94,19,49,0,1,,D^3 h1 c0 d0,,
M h1^4 c0 e0 g,94,21,55,0,0,,M h1^5 c0 e0 g,,
_t P^6 h0 d0^2 e0,94,36,48,1,0,,,,
P^10 d0,94,44,48,0,0,,,,
D^2 M h1^2,95,16,50,0,0,,D^2 M h1^3,,
M D h1 c0 e0,95,18,52,0,0,,M D h1^2 c0 e0,,
M h1^2 c0 g^2,95,19,55,0,0,,M h1^3 c0 g^2,,
M D h1^6 g,95,20,54,0,-1,,M D h1^7 g,,
D^3 h1 c0 d0,95,20,50,0,1,,,,
M h1^5 c0 e0 g,95,22,56,0,0,,M h1^6 c0 e0 g,,
D^2 M h1^3,96,17,51,0,0,,D^2 M h1^4,,
M e0^3,96,18,54,0,0,,M h1 e0^3,,
M D h1^2 c0 e0,96,19,53,0,0,,M D h1^3 c0 e0,,
M h1^3 c0 g^2,96,20,56,0,-1,,M h1^4 c0 g^2,,
D^2 d0 e0^2,96,20,52,0,1,,D^2 h1 d0 e0^2,,
M D h1^7 g,96,21,55,0,0,,,,
M h1^6 c0 e0 g,96,23,57,0,0,,M h1^7 c0 e0 g,,
P^11 c0,96,47,49,0,0,,loc,,
M D1,97,10,52,0,0,,M D1 h1,,
